web-scraper-order,web-scraper-start-url,item
"1566523436-2497","https://study.baidu.com/tiku","[题目]
据《左传》记载，春秋后期鲁国大夫季孙氏的家臣阳虎独掌权柄后，标榜要替鲁国国君整肃跋扈的大夫，此举不仅得不到知礼之士的赞成，反而受到批评。因为此举（  ）A. 挑战了宗法制度B. 损害了大夫利益C. 冲击了天子权威D. 不符合周礼规定题型: 单选题|难度: 一般|使用次数: 0|纠错复制收藏到空间加入选题篮查看答案解析答案：D解析：阳虎的身份是鲁国大夫、季孙氏的家臣，按周礼的规定，他效忠于季孙氏，而他标榜为鲁国国君整肃大夫即是僭越，所以受到批评，故违背了周礼，故选择D项。宗法制度以血缘为核心，故A项与此无关，排除；B项与题意无关，排除；材料的事件涉及鲁国国内，与周天子权威无关，排除C项。知识点：
[知识点：]
“重农抑商”政策,郡县制,夏商两代的政治制度,中央官制——三公九卿制,皇帝制度"
"1566523436-2506","https://study.baidu.com/tiku","[题目]
秦始皇统一六国后创制了一套御玺。如任命国家官员，则封印“皇帝之玺”；若任命四夷的官员，则用“天子之玺”；信玺用于对国内和四夷用兵事宜，行玺则为皇帝外巡时随身携带。材料不能说明（   ）A. 皇帝处于至高无上的地位B. 秦朝有内外两种系统处理国事C. 秦朝实行中央集权的体制D. 三公九卿制大大提升行政效率题型: 单选题|难度: 一般|使用次数: 0|纠错复制收藏到空间加入选题篮查看答案解析答案：D解析：本题要求选择否定项，据材料提到，秦始皇统一六国后创制了一套御玺，如任命国家官员，则封印“皇帝之玺”……，结合所学知识可知，这说明皇帝处于至高无上的地位，故A正确，排除。信玺和行玺的区别说明秦朝有内外两种系统处理国事，故B正确，排除。材料也说明秦朝实行中央集权的体制，故C正确，排除。材料未涉及三公九卿制大大提升行政效率，故D错误，符合题意。知识点：
[知识点：]
“重农抑商”政策,郡县制,夏商两代的政治制度,中央官制——三公九卿制,秦始皇,皇帝制度"
"1566523436-2153","https://study.baidu.com/tiku","[题目]
北宋加强中央集权的主要措施有（   ）
①把主要将领的兵权收归中央②派文官担任地方长官③设置通判监督地方④掌控地方赋税A. ①②③B. ①②③④C. ②③④D. ①②④题型: 单选题|难度: 一般|使用次数: 0|纠错复制收藏到空间加入选题篮查看答案解析答案：B解析：本题考查北宋加强中央集权的主要措施，结合所学知识可知，北宋把主要将领的兵权收归中央，派文官担任地方长官，同时设置通判监督地方，设转运使掌控地方赋税，故①．②．③．④都正确，故B正确。①②③组合错误，故A排除。②③④组合错误，故C排除。①②④组合错误，故D排除。知识点：
[知识点：]
“重农抑商”政策,郡县制,夏商两代的政治制度,选官、用官制度的变化,中央官制——三公九卿制,皇帝制度"
"1566523436-2328","https://study.baidu.com/tiku","[题目]
商朝人崇信各种鬼神，把占卜、祭祀作为与神灵沟通的手段，负责通神事务的是商王和巫师（往往出身贵族）．在商代，王是人，也是神，既是王朝的元首，又是群巫之长。上述材料最能说明（    ）A. 神灵主导着商朝的人事B. 商王垄断神权来强化王权C. 祭神是生产力落后的结果D. 商朝阶级矛盾比较尖锐题型: 单选题|难度: 一般|使用次数: 0|纠错复制收藏到空间加入选题篮查看答案解析答案：B解析：据材料“商代，王是人，也是神，既是王朝的元首，又是群巫之长”并结合所学知识可知，这反映了商代王权与神权相结合的特点，商王通过垄断神权来强化王权，故B项正确；商朝的人事实际上由统治者主导，故A项错误；商代虽然生产力落后，但祭神是商王垄断神权的手段，与生产力无关，故C项错误；材料也无法体现商朝阶级矛盾比较尖锐，故D项错误。据此可知答案为：B。知识点：
[知识点：]
“重农抑商”政策,郡县制,夏商两代的政治制度,中央官制——三公九卿制,皇帝制度"
"1566523436-1914","https://study.baidu.com/tiku","[题目]
公元963年，北宋政府在江淮地区设置了包括盐业管理，以及控制对茶叶销售的专卖等为主要职责的转运使一职，965年“置诸路转运使”，以后又使转运使逐渐变为地方行政长官。转运使的设置表明（    ）A. 宋朝对地方的控制日益加强B. 转运使逐渐有监督知州之责C. 宋朝地方分权矛盾得到缓解D. 转运使在当时地位举足轻重题型: 单选题|难度: 一般|使用次数: 0|纠错复制收藏到空间加入选题篮查看答案解析答案：A解析：A从材料中可以看出，转运使逐渐变为地方行政长官，表明中央对地方的控制日益加强，中央集权不断加强；
B通判对知州具有监督职责，故B项错误；
C项说法错误，错在“缓解”；
D材料中没有体现出转运使的地位，故D项排除。所以答案是A。
知识点：
[知识点：]
“重农抑商”政策,郡县制,夏商两代的政治制度,选官、用官制度的变化,中央官制——三公九卿制,皇帝制度"
"1566523436-2410","https://study.baidu.com/tiku","[题目]
《左传》有云：“昔周公、大公股肱周室，夹辅成王。成王劳之，而赐之盟，曰：世世子孙无相害也。载在盟府，大师职之。”材料表明（   ）A. 周天子建立起绝对权威的统治秩序B. 西周中枢管理机构与蛮夷之间的关系C. 西周贵族实行集体统治的基本方式D. 同姓与异姓诸侯权利与义务的差异题型: 单选题|难度: 一般|使用次数: 0|纠错复制收藏到空间加入选题篮查看答案解析答案：C解析：依据“成王劳之，而赐之盟，曰：世世子孙无相害也”可知西周加强统治集团内部的稳定与团结，实行各级贵族集体统治的方式，C项正确。周代未建立君主专制，A项错误；材料未反映蛮夷的相关信息，B项错误；异性诸侯与材料信息无关，D项错误。知识点：
[知识点：]
“重农抑商”政策,郡县制,夏商两代的政治制度,中央官制——三公九卿制,皇帝制度"
"1566523436-2243","https://study.baidu.com/tiku","[题目]
某一同学在研究性学习过程中搜集了如下一组图片，据此判断他的研究主题是（     ）
A. 中国古代皇权至上B. 立宪君主地位尊贵C. 平民领袖平实民主D. 中外建筑政治文化题型: 单选题|难度: 一般|使用次数: 0|纠错复制收藏到空间加入选题篮查看答案解析答案：D解析：本题考查中外官邸建筑的政治特征。由图片信息“太和殿”，属于中国；“白金汉宫”、“唐宁街10号”，属于英国。再根据题干“研究主题”要求，即可直接排除AB两项。图片揭示的是中国皇帝官邸、英国国王，元首官邸，据此排除C项。D项表述客观，符合三幅图拍总体信息，故选D。知识点：
[知识点：]
明清君主专制制度的加强,秦始皇,议会权力的确立,“重农抑商”政策,郡县制,夏商两代的政治制度,英国责任内阁制的形成,英国国会与国王的殊死搏斗,责任制内阁的形成,中央官制——三公九卿制,皇帝制度,海峡两岸关系的发展"
"1566523436-2545","https://study.baidu.com/tiku","[题目]
古人对秦朝短期而亡的主要原因的分析，最准确的是（  ）A. “废先王之道，燔百家之言，以愚黔首”B. “四维（礼义廉耻）不张……故万民离叛”C. “乃举措暴众而刑太极故也”D. “所以殄灭而降辱者，（亡于）六国之后也”题型: 单选题|难度: 一般|使用次数: 0|纠错复制收藏到空间加入选题篮查看答案解析答案：C解析：分析题干，要求选择最接近事实的对秦朝短期而亡原因的分析。AB两项都认为是因为不推行儒家思想，教化万民而导致灭亡；C项意思是秦因暴政而亡；D项认为是被六王之后所灭。联系史实，秦亡的原因主要是暴政，答案为C。知识点：
[知识点：]
“重农抑商”政策,郡县制,夏商两代的政治制度,中央官制——三公九卿制,秦始皇,皇帝制度"
"1566523436-2129","https://study.baidu.com/tiku","[题目]
《汉书·武帝纪》记载：“春正月，诏曰：‘梁王、城阳王亲慈同生，愿以邑分弟，其许之，诸侯王与子弟邑者，朕将亲览，使有列位焉。’于是藩国始分，而子弟比侯矣。”这在当时的最主要影响是(   )A. 推动封建自然经济迅速发展B. 解决了中央与地方之间的矛盾C. 促成儒家思想成为统治思想D. 加强中央集权，维护国家统一题型: 单选题|难度: 一般|使用次数: 0|纠错复制收藏到空间加入选题篮查看答案解析答案：D解析：根据材料关键词语“以邑分弟”“藩国始分”“子弟比侯矣”可知，王国越分越小，使地方无力对抗中央，这是推恩令，推恩令使汉武帝加强了中央集权，维护了国家统一，D正确。“推恩令”在当时的最主要影响应该从政治上分析，不该从经济角度思考，A项不符，排除。但是推恩令没有从根本上解决中央与地方的矛盾，排除B；汉武帝接受了董仲舒的思想，推崇儒学，从而使儒学成为正统思想，思想统一是为政治上的高度统一服务， C项不符，排除。所以选D知识点：
[知识点：]
“重农抑商”政策,郡县制,夏商两代的政治制度,选官、用官制度的变化,中央官制——三公九卿制,皇帝制度"
"1566523436-1969","https://study.baidu.com/tiku","[题目]
元代行省的设置，无视历来与划界密切相关的几条最重要的山川边界——秦岭、淮河、南岭、太行山等的存在，陕西行省越过秦岭而有汉中盆地，江西行省跨过南岭而有广东，江浙行省从江南平原逶迤直到福建山地。统治者这么划分的主要意图是（   ）A. 便于中央直接管理B. 实行民族分化政策C. 推行汉蒙二元统治D. 防止出现地方割据题型: 单选题|难度: 一般|使用次数: 0|纠错复制收藏到空间加入选题篮查看答案解析答案：D解析：本题考查的是元朝行省制。根据材料信息，结合所学知识，元代行省的设置打破原先依据山川形变划分地方行政区划的原则，目的在于通过犬牙交错的行政区划打破原有依据有利地理区划而形成地方割据势力，从而强化中央集权巩固统治秩序，D项符合题意，正确；A项是其作用而非目的，排除；BC两项说法均与行省设置意图无关，排除。故选D。知识点：
[知识点：]
“重农抑商”政策,郡县制,夏商两代的政治制度,选官、用官制度的变化,中央官制——三公九卿制,皇帝制度"
