web-scraper-order,web-scraper-start-url,item
"1566524207-5847","https://study.baidu.com/tiku","[题目]
史载，北宋都城中的瓦舍勾栏集演艺与消费为一体，颇为兴盛．被士大夫视为“士庶放荡不羁之所，子弟流连破坏之门”。由此可知当时（   ）A. 社会上层生活腐朽堕落B. 民众消费水平差别明显C. 价值观呈现多元化特征D. 市民阶层成为社会主体题型: 单选题|难度: 一般|使用次数: 0|纠错复制收藏到空间加入选题篮查看答案解析答案：C解析：本题主要考察的是对材料的理解分析能力。由材料“瓦舍勾栏集演艺与消费为一体”“子弟流连破坏之门”得知，进入瓦舍勾栏的既非完全社会上层，也非生活腐朽堕落，故A项错误；瓦舍勾栏的兴盛作为少数有钱人娱乐消费的场所，不能整体反映当时民众的消费水平，故B项错误；北宋“子弟”“士庶”进行娱乐消费的瓦舍勾栏却被士大夫视为“放荡不羁之所”“流连破坏之门”，故C项正确；题中材料提供的只是北宋都城的瓦舍勾栏的情况，不能代表北宋社会整体，故D项错误。所以答案选C。知识点：
[知识点：]
商业的发展,报刊业走向繁荣"
"1566524207-4801","https://study.baidu.com/tiku","[题目]
法国总统戴高乐主张欧洲应是“欧洲人的欧洲”。1964年，法国冲破美国设置的反华阵线，与新中国建交。1966年，法国正式退出北约“军事一体化”机构。这反映了（    ）A. 法国是欧共体的积极推动者B. 资本主义阵营出现分化C. 美国经济霸主地位受到挑战D. 北大西洋组织面临解散题型: 单选题|难度: 一般|使用次数: 0|纠错复制收藏到空间加入选题篮查看答案解析答案：B解析：B法国与新中国建交、退出北约机构，这些都说明了与美国为首的资本主义阵营出现了分化；
A材料信息没有涉及欧共体的发展，故A项错误；
C美国经济霸主地位受到挑战是1967年欧共体成立后，故C项错误；
D项不符合史实和材料信息。所以答案是B。
知识点：
[知识点：]
多极化趋势在曲折中发展,摆脱危机困境,曲折的发展"
"1566524207-5899","https://study.baidu.com/tiku","[题目]
19世纪末，在中国土丝败退的局面下，有外国报纸说道：“自从1884年以来，广东的厂丝已经逐渐排除困难，打开销路，目前在他们的出口中，已经占据很重要的地位。”这一现象说明广东相应行业（   ）A. 市场开放时间要早B. 生产方式变革先行C. 传统技术得以发扬D. 得到了政府的支持题型: 单选题|难度: 一般|使用次数: 0|纠错复制收藏到空间加入选题篮查看答案解析答案：B解析：本题主要考查晚清中国经济结构的变化。根据材料信息，结合所学知识可知“厂”丝已经逐渐排除困难，打开销路是在强调在工厂里利用机器这种新的生产方式生产的丝已经逐渐排除困难，即强调生产方式变革，选B是符合题意的，正确；材料是强调生产方式变革而不是市场开放时间要早的问题，选项A不符合题意，排除；材料是强调新的技术得以发扬而不是传统技术得以发扬，选项C不符合题意，排除；选项D在材料中无从体现，不符合题意，排除；故本题选B。知识点：
[知识点：]
鸦片战争的概况及影响,垄断组织的出现,第三产业的兴起和“新经济”的出现,自然经济的逐步解体,洋务派近代工业的创办及其影响"
"1566524207-5340","https://study.baidu.com/tiku","[题目]
某思想家提出：“我有三宝，持而保之：一曰慈，二曰俭，三曰不敢为天下先。慈，故能勇；俭，故能广；不敢为天下先，故能成器长。”对其观点理解正确的是（    ）A. 反映了儒家学派提倡仁爱的价值观B. 体现了普通民众尚贤节用的要求C. 满足了统治者维护礼乐制度的需要D. 表达了道家因循自然的处世方法题型: 单选题|难度: 困难|使用次数: 0|纠错复制收藏到空间加入选题篮查看答案解析答案：D解析：材料“我有三宝，持而保之……不敢为天下先，故能成器长”来自于老子《道德经》，反映了道家不为天下先，遵循自然，清静无为，谦虚谨慎，以慈悲怀天下的思想，故D正确；
材料属于道家经典，不是反映儒家仁爱思想，故A错误；
尚贤节用属于墨家思想，不符合题意，故B错误；
儒家孔子主张维护礼乐制度，不符合题意，故C错误。
所以答案是D。知识点：
[知识点：]
文艺的春天,春秋战国时期的乐舞,春秋战国时期的百家争鸣"
"1566524207-5520","https://study.baidu.com/tiku","[题目]
《史记·封禅书》记载了远古七十二君王的泰山之行，他们的“旅游”项目繁多，包括祭祀、巡狩、会盟、定大位、刻石记号。这些君王包括黄帝、炎帝、颛顼、帝喾、尧、舜、禹、汤等，特别是帝舜，在此朝会东方诸侯，并向八方遥望，意即照会四方诸侯，而四方诸侯也纷纷登上本方境内的高山，向泰山遥祭，这一行为叫“望秩山川”。这一行为其背后昭示的是（   ）A. “大一统”理念B. 天人感应思想    C. 民本仁政观念D. 封建迷信思想题型: 单选题|难度: 一般|使用次数: 0|纠错复制收藏到空间加入选题篮查看答案解析答案：A解析：本题主要考察的是对材料的理解分析能力。材料“在此朝会东方诸侯，并向八方遥望，意即照会四方诸侯，而四方诸侯也纷纷登上本方境内的高山，向泰山遥祭，这一行为叫“望秩山川””并结合所学知识可知，这一行为体现了董仲舒的“大一统”的理念。所以答案选A。知识点：
[知识点：]
董仲舒的“罢黜百家，独尊儒术”,从“无为“到”有为”,文艺的春天,孔子和早期儒学"
"1566524207-4919","https://study.baidu.com/tiku","[题目]
美国人卡尔·德格勒曾指出，胡佛与罗斯福“都认为大企业需要控制，他们有个时候曾经都相信企业与政府间的合作是实现这种控制的最佳途径”，“他们认为做某些事情来对付经济危机是政府的责任”……胡佛“是打破政府（对经济）漠不关心和软弱无力的习俗的第一人”。据此可知，卡尔·德格勒认为胡佛改革（    ）A. 为罗斯福新政提供借鉴B. 以有限干预经济应对危机C. 坚持自由放任经济政策D. 无法应对经济危机的冲击题型: 单选题|难度: 一般|使用次数: 0|纠错复制收藏到空间加入选题篮查看答案解析答案：A解析：本题主要考查1929—1933年资本主义世界经济危机和罗斯福新政，旨在考查学生对教材主干知识的再认再现和获取材料有效信息的能力。根据材料文字“胡佛与罗斯福‘都认为大企业需要控制’”“胡佛‘是打破政府（对经济）漠不关心和软弱无力的习俗的第一人’”并结合所学知识可知，卡尔·德格勒认为胡佛改革为罗斯福新政提供了借鉴。A项表述符合题意，正确；B、C、D三项表述都不符合题意，均排除。知识点：
[知识点：]
实施“新政”,1929至1933年资本主义世界经济危机"
"1566524207-5973","https://study.baidu.com/tiku","[题目]
吕思勉先生说：“大同时代的境界，永存于人类记忆之中。不但孔子，即先秦诸子，亦无不如此。”如孔子主张“克己复礼”，老子幻想回到“小国寡民”的社会去，墨子主张“兼爱”。先秦诸子回归三代的复古情绪，主要反映了（   ）A. 先秦诸子开历史倒车的落后思想B. 社会的进步与付出的代价之间的矛盾C. 社会变革是历史发展的潮流D. 先秦诸子学说的多样性复杂性题型: 单选题|难度: 一般|使用次数: 0|纠错复制收藏到空间加入选题篮查看答案解析答案：B解析：据材料提到，大同时代的境界，永存于人类记忆之中……先秦诸子回归三代的复古情绪，结合所学知识可知，春秋战国时期，社会重大变革，百家争鸣，这反映了社会的进步与付出的代价之间的矛盾，故B正确。先秦诸子思想不是开历史倒车，故A排除。社会变革是历史发展的潮流，没有突出社会进步的代价，故C排除。先秦诸子学说的多样性复杂性，本质上反映了社会的进步与付出的代价之间的矛盾，故D排除。知识点：
[知识点：]
文艺的春天,春秋战国时期的乐舞,春秋战国时期的百家争鸣"
"1566524207-5498","https://study.baidu.com/tiku","[题目]
学者萧功秦指出：“洋务运动的现代化意义……我们可以称之为‘防卫现代化的弥散效应’，那就是,只要洋务派在军事自强运动的现代化的方向上走出第—步,他们就不得不走出第二步,他们为了保住第二步不至于前功尽弃,就不由自主地要走出第三步、第四步……现代化就是这样一个从—个点向—个面的不断弥散过程。”材料中的“第二步”应该是（   ）A. 创办军事工业B. 创办民用工业C. 创办新式学堂，派遣留学生D. 筹划海防，建立海军题型: 单选题|难度: 一般|使用次数: 0|纠错复制收藏到空间加入选题篮查看答案解析答案：B解析：本题主要考查学生运用基本知识解决问题的能力。洋务运动中“防卫现代化”即军事近代化，这是第一步，“弥散效应”即第二步、第三步、第四步。第二步即经济近代化，创办民用企业，第三步是文化近代化，办新式学堂，派遣留学。第四步创办新式海军，注重海防。因此第二步应为创办民用工业，所以答案是B项。A项应为第一步，C项应为第三步，D项属于洋务运动后期的内容，排除ACD项。
知识点：
[知识点：]
垄断组织的出现,第三产业的兴起和“新经济”的出现,洋务派近代工业的创办及其影响"
"1566524207-4631","https://study.baidu.com/tiku","[题目]
学者宋圭武在评价家庭联产承包责任制时说：“对中国发展而言，小岗村既是成功的，也是沉重的。小岗村的成功主要是极大地调动了农民的积极性。但小岗村的发展也是沉重的，也代表着一种‘小’和不足。”该“不足”是指（    ）A. 没有促进农村经济的规模发展B. 没有形成公有制为主体的经济C. 没有解决农民生产经营自主权D. 没有改变人民公社的生产关系题型: 单选题|难度: 一般|使用次数: 0|纠错复制收藏到空间加入选题篮查看答案解析答案：A解析：A依据所学知识可知，家庭联产承包责任制是以家庭为生产单位的，规模小，没有促进农村经济的规模发展；
B家庭联产承包责任制是以土地为集体或国家所有为基础的，是在公有制为主体的基础上进行的，故B的说法违背史实，可排除；
CD家庭联产承包责任制使农民有了生产经营的自主权，也改变了人民公社的生产关系，所以CD两项的说法不符合史实，故可排除。所以答案是A。
知识点：
[知识点：]
经济体制改革,中国的振兴"
"1566524207-6171","https://study.baidu.com/tiku","[题目]
19世纪 60—90年代的洋务运动，迈出了中国近代化的第一步。下列不属于洋务运动内容的是（    ）A. 创办近代军事工业B. 创办新式学堂，选派留学生C. 筹划海防，创建海军D. 创办资本主义工业题型: 单选题|难度: 简单|使用次数: 0|纠错复制收藏到空间加入选题篮查看答案解析答案：D解析：本题主要考查学生对洋务运动的准确识记，联系已学知识可知19世纪60-90年代，洋务派掀起了一场“师夷长技”的洋务运动，前期以“自强”为旗号，创办了诸如安庆内军械所的军事工业，后期以“求富”为旗号，创办了诸如汉阳铁厂的民用工业，还筹建了南洋、北洋和福建三支海军，还派遣了留学生，据此可知ABC均是洋务运动的内容，而没有创办民族资本主义企业，故选D。知识点：
[知识点：]
垄断组织的出现,第三产业的兴起和“新经济”的出现,洋务派近代工业的创办及其影响"
