web-scraper-order,web-scraper-start-url,item
"1566523734-4238","https://study.baidu.com/tiku","[题目]
下表是美国、欧共体和日本的国民经济占世界经济总量的比例表（单位：亿美元）。结合所学知识判断，对此分析不正确的是（   ）年份美国欧共体日本195634.88%15.85%4.26%197327.08%27.017%18.023%A. 福利政策的实施已然严重阻碍了美国经济发展B. 美、欧、日三足鼎立之势有力冲击着两极格局C. 越南战争已将美国经济拖入了‘滞胀”的轨道D. 欧、日经济的迅速发展威胁着美国的霸主地位题型: 单选题|难度: 一般|使用次数: 0|纠错复制收藏到空间加入选题篮查看答案解析答案：A解析：本题主要考查二战后国际政治经济格局的变化。依据已学知识可知经济决定政治，经济的多元化推动了政治多极化。从图表中可知，欧共体、日本经济力量增强，与美国的差距逐渐缩小，美国是呈现下降的趋势，由此可知BD表述均符合题意；越南战争耗费了美国大量的人力、物力和财力，将美国经济拖入了‘滞胀”的轨道，也导致美国的霸权地位相对衰落，C表述符合题意；战后到70年代初，福利政策对经济发展的推动作用是非常明显的，而不是阻碍美国经济发展，故A表述错误，符合题目要求。故答案选A。知识点：
[知识点：]
世界经济区域集团化,多极化趋势在曲折中发展,摆脱危机困境,曲折的发展"
"1566523734-2719","https://study.baidu.com/tiku","[题目]
新中国成立后，我国外交政策不断走向成熟，并于20世纪50年代最终有了自己的外交“定海神针”。材料中的“定海神针”是指（    ）A. “一边倒”的政策B. 和平共处五项原则C. “求同存异”的方针D. “不结盟”的政策题型: 单选题|难度: 简单|使用次数: 1|纠错复制收藏到空间加入选题篮查看答案解析答案：B解析：本题主要考查学生正确运用所学知识解决问题的能力。由“20世纪50年代最终有了自己的外交“定海神针”和“我国外交政策不断走向成熟”结合所学知识可知其中的定海神针是和平共处五项原则，这个五项原则标志着中国的外交走向成熟，成为处理国与国问题的基本准则，故本题答案选B项；ACD不符合题意。知识点：
[知识点：]
独立之初的严峻形势,和平共处五项原则"
"1566523734-3826","https://study.baidu.com/tiku","[题目]
有学者通过计量化的统计得出，在1938年底到1941年底，国民党正面战场组织了南昌会战等9次大规模战役，占国民党22次会战的41%，甚至有过一些攻势作战。这一时期国民党还有大的战斗496次，占整个抗战时期战斗的44%，共伤亡137.6万人，占整个抗战时期伤亡人数的43%。材料可以表明（  ）A. 中国战场是世界反法西斯战争的一部分B. 正面战场和敌后战场密切配合C. 在进入相持阶段后，国民党仍在积极抗日D. 正面战场牵制了日军侵华的全部力量题型: 单选题|难度: 一般|使用次数: 0|纠错复制收藏到空间加入选题篮查看答案解析答案：C解析：本题主要考查学生运用所学知识解决问题的能力。尊重材料是做对历史题目的唯一秘籍。而通过材料并结合所学知识不难发现，1938年10月武汉失守后抗战进入相持阶段，从题中数据看出，国民党在相持阶段仍然积极抗日，付出重大的牺牲，故C项正确；中共领导的敌后战场也牵制日军一部分，故D项错误；材料未涉及国共合作抗战、以及中国战场在世界反法西斯战争中的地位，故AB项错误。知识点：
[知识点：]
清末民主革命风潮,抗日战争"
"1566523734-3460","https://study.baidu.com/tiku","[题目]
抗战时期，以四川为中心的大后方经济迅速发展，至1944年，其工厂占了国统区工厂总数的88.63%（如下表所示）这种历史现象（    ）年份1937.7193919401941194219431944总计工厂数量234419517306106113765495462A. 是“国民经济建设运动”成果体现B. 为抗日战争的胜利奠定了物质基础C. 使得中国的工业区域布局渐趋平衡D. 为中国的工业化奠定了初步的基础题型: 单选题|难度: 一般|使用次数: 0|纠错复制收藏到空间加入选题篮查看答案解析答案：B解析：A本题主要考查抗战时期民族工业的内迁问题。从表格提供的时间来看“国民经济建设运动”已经结束，这种历史现象并不是“国民经济建设运动”成果体现，排除A。
B持久战的进行，需要具备安全稳固，可以为战争消耗提供支持的坚强后方，因此，抗战时期,以四川为中心的大后方经济迅速发展，表格中西部工厂数的明显的增多，标志着当时社会重心西移，目的是满足抗战的需求，为抗战提供物质支援，符合题意；
C抗战时期，以四川为中心的大后方经济迅速发展并没有使中国的工业区域布局渐趋平衡，直到今天工业区域布局不平衡问题仍然存在，C项不符合题意，排除；
D为中国工业化奠定了初步基础是建国之后的一五计划，D项不符合题意，排除；
所以答案是B。知识点：
[知识点：]
抗战时期和解放战争时期的民族工业,垄断组织的出现,第三产业的兴起和“新经济”的出现"
"1566523734-3920","https://study.baidu.com/tiku","[题目]
春联是中国特有的文学艺术形式，许多春联折射出了历史的变迁，内容具有很强的时代性。判断以下春联出现的先后顺序（    ）①万里山河归人民，五亿群众庆新生
②食堂巧煮千家饭，公社饱暖万人心
③改革开放同添异彩，经济建设共展宏图A. ①②③B. ③①②C. ①③②D. ②①③题型: 单选题|难度: 一般|使用次数: 0|纠错复制收藏到空间加入选题篮查看答案解析答案：A解析：①说明的是新中国成立；②是1958年人民公社化运动；③是1978年改革开放。
所以答案是A。知识点：
[知识点：]
中国的振兴,革命道路的探索,祖国统一的历史潮流,20世纪50年代至70年代探索社会主义建设道路的实践,中华人民共和国的成立,中国共产党的成立"
"1566523734-3913","https://study.baidu.com/tiku","[题目]
国际形势的变化对中国外交方针政策的调整有重大影响。下列各项对应正确的是（    ）A. A      B. B      C. C      D. D题型: 单选题|难度: 一般|使用次数: 0|纠错复制收藏到空间加入选题篮查看答案解析答案：B解析：A两极格局正式形成的标志是1955年华沙条约组织的建立，中国与苏联建交是在1949年，故A错误；
B二战后，民族解放运动高涨，1955年万隆会议召开，是有史以来亚非国家第一次在没有殖民国家参加的情况下讨论亚非事务的大型国际会议，会上周恩来提出“求同存异”的方针；
C和平共处五项原则是1953年底周恩来总理在同印度政府代表团就关于两国在中国西藏地区的关系问题举行谈判时首次完整地提出，冷战后亚洲的局部热战主要指朝鲜战争、越南战争，这与和平共处五项原则的提出没有直接联系，故C错误；
D中国并没有加入不结盟运动，故D错误。
所以答案是B。知识点：
[知识点：]
中美关系正常化和中日邦交正常化,独立之初的严峻形势,步入世界外交舞台,和平共处五项原则"
"1566523734-2766","https://study.baidu.com/tiku","[题目]
阅读材料，完成下列要求。有历史学者认为：现代化的历程就是西方化的历程，但是任何一国的现代化又不能完全脱离本民族国家的优秀传统而全盘西化。否则就会产生传统与现代“脱节”而导致社会分裂或社会矛盾的激化，从而阻碍现代化的正常历程。
——摘编自罗荣渠《现代化新论》等
提炼出一个观点，并运用世界史与中国史的相关知识，对其进行论证。（要求：观点明确，史论结合，逻辑严密）题型: 简答题|难度: 一般|使用次数: 0|纠错复制收藏到空间加入选题篮查看答案解析答案：观点：现代化是继承传统和改革创新的过程。论证：随着欧洲向近代社会转型，英国实行的君主立宪制，既秉承了传统的王在法下，王权传统，又于近代建立了君主立宪和责任内阁制，实现了虚君制，促进政治现代化历程。中国近代在内忧外患的困境下，清政府掀起了洋务运动，采用“中体西用”思想，既秉承了传统的政教文化，又引进了西方先进技术，开启了中国近代化。甲午战后民族危机加深，资产阶级维新派把传统的儒家思想与西方政治学说相结合，宣传维新变法思想，变革政治制度，促进了中国政治近代化。可见，现代化的历程既要传承优秀传统文化，又要不断改革创新，吸收外来先进文明，从而促进社会的进步。解析：根据题目要求“阅读材料，提炼出一个观点，并运用世界史和中国史的相关知识，对其进行探讨”，然后，阅读材料，根据“现代化的历程就是西方化的历程，但是任何一国现代化又不能完全脱离本民族国家的优秀传统而全盘西化”可提炼出观点：现代化是传统与现代连续性的过程。接下来，通过所学中国和世界的相关史实分析论证。注意观点明确，史论结合。据此可知答案为：
观点：现代化是继承传统和改革创新的过程。
论证：随着欧洲向近代社会转型，英国实行的君主立宪制，既秉承了传统的王在法下，王权传统，又于近代建立了君主立宪和责任内阁制，实现了虚君制，促进政治现代化历程。中国近代在内忧外患的困境下，清政府掀起了洋务运动，采用“中体西用”思想，既秉承了传统的政教文化，又引进了西方先进技术，开启了中国近代化。甲午战后民族危机加深，资产阶级维新派把传统的儒家思想与西方政治学说相结合，宣传维新变法思想，变革政治制度，促进了中国政治近代化。可见，现代化的历程既要传承优秀传统文化，又要不断改革创新，吸收外来先进文明，从而促进社会的进步。
知识点：
[知识点：]
新思想的萌发,垄断组织的出现,民族资本主义的产生,第三产业的兴起和“新经济”的出现,西周的宗法制、分封制与礼乐制度,维新思想,民族资本主义的产生和初步发展,从习惯法到成文法,洋务派近代工业的创办及其影响"
"1566523734-4142","https://study.baidu.com/tiku","[题目]
鸦片战争前，在外交文书的问题上，中英之间有着长期的冲突，清政府坚持用“禀”“谕”的体制（英国官员用下对上的“禀”，清政府官员用上对下的“谕”），而英国主张用平行的照会文书。1842年《南京条约》规定，中英之间“有文书来往，用照会字样。”这个变化反映出（   ）A. 中国开始沦为半殖民半封建社会B. 向西方学习的新思潮涌现C. 传统的华夷观受到冲击D. 中英两国开始平等交往题型: 单选题|难度: 一般|使用次数: 0|纠错复制收藏到空间加入选题篮查看答案解析答案：C解析：本题主要考查清政府外交变化，旨在考查正确解读材料的能力。题干中描述的是鸦片战争前后清政府对外态度的转变，这表明了清政府传统观念的变化，符合题意的是C项，A项是指鸦片战争的影响，题干中没有提到向西方学习，排除B项；D项表述错误。知识点：
[知识点：]
新思想的萌发,从习惯法到成文法"
"1566523734-4028","https://study.baidu.com/tiku","[题目]
纽约州代表汉密尔顿在1787年制宪会议上说：“一切社会都分为少数人和多数人。前者是富裕的，出身名门的，后者是普通大众，很少有分辨是非的能力。”汉密尔顿主张（    ）A. 加强中央政府权力B. 反对赋予人民权利C. 建立有限制的君主制D. 用宪法限制民主权利题型: 单选题|难度: 一般|使用次数: 0|纠错复制收藏到空间加入选题篮查看答案解析答案：B解析：本题考查美国的民主政治。根据材料中“后者是普通大众，很少有分辨是非的能力”可知汉密尔顿主张社会应该由少数素质高的人统治，从而反对给多数人以权利，故B项正确；材料中未涉及加强中央政府的权力，故A项错误；美国实行的是民主政治，不是君主制，故C项错误；材料中未涉及宪法限制民主权利，故D项错误。故选B。知识点：
[知识点：]
两党制的形成和发展,海峡两岸关系的发展"
"1566523734-4085","https://study.baidu.com/tiku","[题目]
美国1787年宪法规定：任何一州都不得“缔结任何条约，参加任何同盟或邦联”；未经国会同意，“不得对进出口货物征收任何进口税或关税”；“未经国会同意，不得在和平时期保持军队或战舰。不得与他州或外国缔结协定或盟约。”这些规定体现的原则是（   ）A. 共和制B. 分权制C. 联邦制D. 总统制题型: 单选题|难度: 一般|使用次数: 0|纠错复制收藏到空间加入选题篮查看答案解析答案：C解析：根据材料可知，从宪法的条文当中可以看出，各州的权力受到了明显的制约，体现的是中央集权的原则，中央集权的原则即是联邦制的原则，C正确；共和制是从政治体制的角度分析的，排除A；分权制和总统制在材料中都未体现，排除BD；所以选C知识点：
[知识点：]
两党制的形成和发展,海峡两岸关系的发展"
