item,label
鸦片战争 后 中国 自然经济 逐渐 解体 首要 原因 资本主义 列强 经济侵略 封建 专制制度 腐朽 洋务派 创办 近代 工业 推动 民族 资本主义 工业 兴起 题型 单选题 难度 使用 次数 纠错 复制 收藏 空间 加入 选题 篮 查看 答案 解析 答案 解析 本题 主要 考查 中国 自然经济 逐渐 解体 首要 原因 材料 信息 结合 所学 知识 可知 中国 资本主义 萌芽 力量 太小 不能 解体 中国 自然经济 中国 自然经济 逐渐 解体 第一 要素 外部 因素 资本主义 列强 经济侵略 才 解体 选是 符合 题意 正确 选项 不是 解体 首要 原因 不 符合 题意 排除 选项 不是 解体 首要 原因 不 符合 题意 排除 民族 资本主义 工业 兴起 中国 自然经济 逐渐 解体 具体表现 不是 原因 选项 不 符合 题意 排除 本题 选 知识点 知识点 鸦片战争 概况 影响 垄断组织 出现 第三产业 兴起 新 经济 出现 自然经济 逐步 解体,近代史
道光 年间 湖丝 出洋 其始 运至 广东 其继运至 上海 七里 村所产丝 尤 著名 出产 既富 经商 上海 众镇 之人业 起家 亦 不少 反映 传统 小农经济 解体 五口 通商 客观 上 刺激 湖丝 对外贸易 上海 开放 程度 高于 广州 海禁 政策 使 湖丝 只能 广东 出口 题型 单选题 难度 使用 次数 纠错 复制 收藏 空间 加入 选题 篮 查看 答案 解析 答案 解析 材料 道光 年间 年 湖丝 出洋 经商 上海 众镇 之人业 起家 亦 不少 结合 所学 知识 可知 反映 当时 上海 开辟 通商口岸 湖丝 对外贸易 迅速 发展 正确 材料 未 涉及 传统 小农经济 解体 排除 材料 不能 说明 上海 开放 程度 高于 广州 排除 当时 海禁 政策 已经 结束 广东 不是 唯一 通商口岸 排除 知识点 知识点 鸦片战争 概况 影响 清末 民主革命 风潮 垄断组织 出现 第三产业 兴起 新 经济 出现 自然经济 逐步 解体 第二次 鸦片战争 概况 影响,近代史
年 月 一部 名为 爱之光 剧本 基本 剧情 一位 科学 博士 以前 认为 时间 先生 空间 小姐 亳 无 联系 相对 独立 科学研究 中 遇到 无法 克服 困难 一天 光之神 带来 重要 灵感 最后 科学 博士 摘下 有色眼镜 明白 时间 先生 空间 小姐 本质 联系 剧情 反映 科学 成就 说明 物体 颜色 形成 原理 奠定 近代 光谱学 基础 人类 自然界 认识 上 第一次 理论 大 综合 成为 天文学 上 基础 定律 解释 潮汐 现象 原子能 科学 宇宙 航行 科学 理论 基础 题型 单选题 难度 使用 次数 纠错 复制 收藏 空间 加入 选题 篮 查看 答案 解析 答案 解析 本题 主要 考查 学生 材料 理解能力 材料 描述 可知 段 材料 描述 理论 爱因斯坦 相对论 所学 知识 可知 相对论 原子能 科学 宇宙 航行 科学 理论 基础 项 正确 项 错误 答案 选 知识点 知识点 相对论 创立 量子论 诞生 发展,近代史
海峡交流基金会 月 日 举办 大陆 台商 中秋节 座谈 联谊 活动 台湾地区 领导人 马英九 致词 表示 两岸关系 相合 旺 相离 伤 相反 荡 两岸 相合 关键在于 发表 告 台湾同胞 书 提出 一国两制 坚持 九二 共识 实现 两岸 三通 题型 单选题 难度 使用 次数 纠错 复制 收藏 空间 加入 选题 篮 查看 答案 解析 答案 解析 本题 考查 调用 所学 知识 能力 告 台湾同胞 书 提出 采用 和平 方式 统一祖国 不是 改善 两岸关系 关键因素 故项 错误 一国两制 提出 有利于 实现 祖国统一 不是 关键 前提条件 故项 错误 九二 共识 坚持 祖国 原则 两岸 相合 关键 故项 正确 两岸 三通 年 实现 不是 两岸 相合 关键因素 故项 错误 知识点 知识点 一国两制 理论 实践 香港 澳门 回归,现代史
公和永 仅 丝车 一百 零 四部 各项 机械 均 购自 意法 国斯时 运用 缫丝 机械 尚无 相当 人才 乃延意麦 登斯为 工程师 指导 常务 所有 产品 需 运往 国外市场 光绪 八年 十三年 营业 失败 材料 可知 公和永 缫丝厂 出现 这种 结局 主要 原因 在于 深受 各级 官吏 盘剥 压榨 规模较 小 技术 力量薄弱 忽视 国内 市场 开拓 过分 依赖于 外国 资本主义 题型 单选题 难度 使用 次数 纠错 复制 收藏 空间 加入 选题 篮 查看 答案 解析 答案 解析 本题 主要 考查 近代 中国 民族 工业 曲折 发展 旨在 考查 正确 解读 材料 能力 中 信息 各项 机械 均 购自 意法 国延意麦 登斯为 工程师 所有 产品 需 运往 国外市场 可知 公和永 缫丝厂 营业 失败 主要 原因 在于 过分 依赖于 外国 资本主义 本题 应 选项 中未 涉及 各级 官吏 对公 永 缫丝厂 盘剥 排除 项 项 无法 体现 中 信息 所有 产品 需 运往 国外市场 项 无法 体现 中 信息 仅 丝车 一百 零 四部 各项 机械 均 购自 意法 国故 排除 答案 知识点 知识点 垄断组织 出现 民族 资本主义 产生 第三产业 兴起 新 经济 出现 西周 宗 法制 分封制 礼乐 制度 民族 资本主义 产生 初步 发展,近代史
罗斯福 说 走出 经济危机 政府 必须 承担 主要 责任 纠正 问题 制度 私人企业 重新 出发 政府 银行 注入 资金 之后 再 提出 银行 不能 支付 高额 花红 不能 优先 认股权 改变 美国 企业 自由 经营 根本 制度 美国 制度 过去 成功 奖励 带来 成功 人 说明 罗斯福 新政 力图 维护 资本主义 自由 企业 制度 标志 资本主义 国家 干预 经济 具有 人民 资本主义 色彩 私人 垄断资本 进行 根本性 改造 题型 单选题 难度 使用 次数 纠错 复制 收藏 空间 加入 选题 篮 查看 答案 解析 答案 解析 材料 政府 必须 承担 主要 责任 纠正 问题 制度 私人企业 重新 出发 结合 所学 知识 分析 出 罗斯福 新政 使 美国 经济 缓慢 恢复过来 人民 生活 水平 得到 改善 使 美国 资本主义 制度 等到 调整 巩固 发展 材料 强调 罗斯福 新政 实质 没有 体现 出其 特点 故项 错误 人民 资本主义 二战 后 资本主义 国家 生产关系 调整 故项 排除 项 说法 错误 错 根本性 答案 知识点 知识点 实施 新政,现代史
科学 东西 都 辩论 求证 中 获得 发展 优秀 文艺 都 包容 并存 中 得到 繁荣 讲话 明确 科技 第一 生产力 思想 奠定 科教兴国 战略 理论 基础 反映 学术 问题 政治化 要求 体现 双百方针 精神 题型 单选题 难度 使用 次数 纠错 复制 收藏 空间 加入 选题 篮 查看 答案 解析 答案 解析 本题 主要 考查 双百方针 精神 材料 涉及 科学 领域 文艺领域 科技 第一 生产力 主要 科技 作用 故项 错误 科教兴国 主要 科技 教育领域 故项 错误 学术 问题 科技领域 故项 错误 双百方针 学术 问题 上 百家争鸣 艺术 问题 上 百花齐放 故项 正确 知识点 知识点 百家争鸣 局面 出现 计算机 生物 技术 发展 百花齐放 百家争鸣 方针,现代史
世纪 年代 国民政府 推行 苏式 计划 经济体制 苏俄 斯大林 时期 通行 做法 合资 公营企业 采用 雇佣 制 按时 计工 制 现代 企业 制度 性质 比较 明显 对此 理解 正确 国民政府 采纳 共产党人 建议 说明 中国 引进 现代 企业 制度 目的 赢得 抗战 胜利 积聚 力量 有利于 中国 民族 资本主义 发展 题型 单选题 难度 使用 次数 纠错 复制 收藏 空间 加入 选题 篮 查看 答案 解析 答案 解析 材料 提到 世纪 年代 国民政府 推行 苏式 计划 经济体制 合资 公营企业 采用 雇佣 制 按时 计工 制 结合 所学 知识 可知 当时 抗日战争 形势严峻 此举 目的 赢得 抗战 胜利 积聚 力量 正确 材料 无法 体现 国民政府 采纳 共产党人 建议 排除 中国 引进 现代 企业 制度 在此之前 排除 计划经济 不利于 民族 资本主义 发展 排除 知识点 知识点 清末 民主革命 风潮 抗日战争,近代史
近代化 现代化 世界 历史 发展 重要 阶段 中国 近代化 工业化 工业化 相伴 政治经济 文化 方面 变化 实现 社会 转型 近代 以来 众多 仁人志士 不懈 探索 努力 之下 中国 近代化 逐渐 得以 起步 发展 请 仿照 示例 依据 所学 知识 选择 中国 近代 历史 中 推动 中国 近代化 进程 作出贡献 重要 人物 写出 人物 相关 近代化 过程 中 重大事件 时间 简单 说明 选择 这一 人物 理由 题型 简答题 难度 简单 使用 次数 纠错 复制 收藏 空间 加入 选题 篮 查看 答案 解析 答案 人物 李鸿章 事件 洋务运动 时间 世纪 年代 理由 李鸿章 参与 创办 中国 第一批 近代 军事 民用工业 企业 客观 上 推动 中国 近代 民族 工业 兴起 促进 中国 工业 近代化 产生 发展 解析 本问 属于 开放型 问题 紧扣 题意 中国 近代 历史 中 推动 中国 近代化 进程 作出贡献 重要 人物 分析 事件 推动 中国 近代化 进程 洋务运动 推动 中国 经济 近代化 戊戌变法 辛亥革命 推动 政治 近代化 新文化运动 推动 思想 近代化 分析 相关 历史 人物 洋务派 维新派 革命派 激进 民主主义 代表 人物 选择 历史 人物 后 结合 所学 知识 回答 知识点 知识点 垄断组织 出现 第三产业 兴起 新 经济 出现 洋务派 近代 工业 创办 影响,近代史
年 罗斯福 明确 指示 黄金 一定 程度 上 白银 都 通货 完美无缺 基础 决定 现在 不 允许 美国 持有 黄金 外流 原因 国会 决定 公司 契约 均 禁止 黄金 支付 此时 美国 实行 金本位制 改革 货币制度 放弃 金本位制 消除 关税壁垒 刺激 通货膨胀 推动 经济 复苏 推行 通货紧缩 削减 财政开支 题型 单选题 难度 使用 次数 纠错 复制 收藏 空间 加入 选题 篮 查看 答案 解析 答案 解析 本题 主要 考察 材料 理解 分析 能力 经济危机 期间 美国 最终 放弃 金本位制 目的 主要 挽救 经济危机 需要 放弃 金本位制 才能 刺激 通货膨胀 推动 经济 复苏 才能 最终 挽救 经济危机 故项 正确 项 错误 知识点 知识点 实施 新政,现代史
明清 时期 地方 出现 地域性 商人 群体 商帮 人 数最多 实力 最强 徽商 鄂 商湘商 浙商 浙商 晋商 徽商 晋商 题型 单选题 难度 简单 使用 次数 纠错 复制 收藏 空间 加入 选题 篮 查看 答案 解析 答案 解析 本题 主要 考察 知识 识记 能力 比较简单 所学 知识 可知 明清 时期 地方 出现 地域性 商人 群体 势力 比较 强大 徽商 晋商 故项 正确 项中 鄂商 不是 项 当时 势力 都 不 强大 项中 浙商 不是 答案 选 知识点 知识点 商业 发展 报刊 业 走向 繁荣,现代史
人类 历史长河 中 出现 叱咤风云 大国 强国 战国时期 统一 中原 秦国 世纪 确立 世界 霸主 地位 英国 世纪末 确立 亚洲 强国 地位 日本 改革开放 以来 日益 强大 中国 发展 道路 各不相同 崛起 原因 却 惊人 相似 认为 崛起 共同 原因 和平 崛起 武力 掠夺 制度 创新 民主 强国 题型 单选题 难度 使用 次数 纠错 复制 收藏 空间 加入 选题 篮 查看 答案 解析 答案 解析 战国时期 统一 中原 秦国 商鞅 变法 改革 制度 世纪 确立 世界 霸主 地位 英国 早 确立 资产阶级 代议制 君主立宪制 世纪末 确立 亚洲 强国 地位 日本 明治维新 走上 资本主义 道路 新 时期 日益 强大 中国 改革开放 共同 原因 制度 创新 故选 改革开放 以来 日益 强大 中国 走 和平 崛起 路 近代 英国 日本 都 进行 武力 掠夺 秦国 确立 封建 专制制度 非 民主 制度 排除 知识点 知识点 秦始皇 议会 权力 确立 重 农抑商 政策 郡县制 夏商 两代 政治 制度 英国 责任 内阁制 形成 英国 国会 国王 殊死搏斗 责任制 内阁 形成 中央 官制 三公九卿 制 皇帝 制度 海峡两岸 关系 发展,古代史
日本 右翼 势力 认为 支那 事变 指年 日本 侵华 战争 发展 过程 中 日军 没有 掠夺 领土 性质 最 重要 日本 方面 没有 掠夺 领土 意图 下列 各项 有力 驳斥 以上 言论 九一八事变 后 东北 变成 日本 殖民地 马关条约 割 占 台湾 全面 侵华 战争 期间 占领 华北 华中 华南 大片 领土 南京大屠杀 题型 单选题 难度 使用 次数 纠错 复制 收藏 空间 加入 选题 篮 查看 答案 解析 答案 解析 材料 年 日军 没有 掠夺 领土 性质 最 重要 日本 方面 没有 掠夺 领土 意图 结合 所学 知识 可知 说明 日本 右翼 势力 歪曲 侵华 事实 九一八事变 发生 年 不 符合 题干 时间 排除 马关条约 割 占 台湾 年 排除 全面 侵华 战争 期间 占领 华北 华中 华南 大片 领土 驳斥 日本 右翼 言论 符合 题意 南京大屠杀 不能 说明 日本 掠夺 领土 排除 正确 据此 可知 答案 知识点 知识点 清末 民主革命 风潮 抗日战争,近代史
