web-scraper-order,web-scraper-start-url,item
"1567142626-1946","https://study.baidu.com/tiku","[题目]
不同的地面状况有不同的反射率，根据这个原理，可以利用遥感的工作有（）A判断人口分布B判断水体污染C寻找失踪人士D为商业网点选址题型: 单选题|难度: 一般|使用次数: 0|纠错复制收藏到空间加入选题篮查看答案解析答案：B解析：人口分布只能通过普查来完成；寻找失踪人士可以通过寻人启示的方法来完成；为商业网点选址可以通过地理信息系统完成（交通与人口分布图叠加)。正确答案选B。知识点：
[知识点：]
遥感(RS)在资源普查、环境和灾害监测中的应用,区域可持续发展"
"1567142626-1985","https://study.baidu.com/tiku","[题目]
读2001—2005年广东省三个区域国内生产总值增长率变化图，图中信息反映（   ）A2005年珠江三角洲国内生产总值比2004年少B2001—2005年珠江三角洲国内生产总值增长率的变化在三个区域中最大C2001—2005年北部山区国内生产总值增长率始终高于东西两翼D2001—2005年东西两翼国内生产总值增长率最小的是2001年题型: 单选题|难度: 一般|使用次数: 0|纠错复制收藏到空间加入选题篮查看答案解析答案：C解析：2005年珠江三角洲国内生产总值增长率虽然低于2004年，但仍为正值，所以2005年珠江三角洲国内生产总值比2004年多；2001—2005年东西两翼国内生产总值增长率的变化在三个区域中最大；2001—2005年东西两翼国内生产总值增长率最小的是2002年；而2001—2005年北部山区国内生产总值增长率始终高于东西两翼。故选C。知识点：
[知识点：]
区域工业化和城市化的推进过程产生的问题及解决措施"
"1567142626-1976","https://study.baidu.com/tiku","[题目]
下图为某国工业化、城市化进程示意图。关于该国工业化、城市化进程特点的叙述，正确的是（    ）A城市化与工业化呈同步增长趋势B该国城市化进程与工业化水平不相适应C该国属发展中国家D阶段Ⅲ，该国经济增长主要依靠第三产业题型: 单选题|难度: 一般|使用次数: 0|纠错复制收藏到空间加入选题篮查看答案解析答案：D解析：从图中可以看出城市化与工业化在阶段Ⅲ 的变化趋势不同，呈现不同步，图示信息可知该国城市化水平和工业化水平在1800～1940年均逐步增高，工业化和城市化相互促进，城市化水平在1970 之前达到74%，该国城市化进程与工业化水平相适应，由于该国城市化水平高，应属于发达国家，工业化水平在1940年之后下降，第三产业比重增加，所以阶段Ⅲ，该国经济增长主要依靠第三产业。知识点：
[知识点：]
区域工业化和城市化的推进过程产生的问题及解决措施"
"1567142626-1932","https://study.baidu.com/tiku","[题目]
读“北非五国绿色工程示意图”， 影响图中“绿色工程”分布的主要因素是（  ）A热量B水分C地形D洋流题型: 单选题|难度: 一般|使用次数: 1|纠错复制收藏到空间加入选题篮查看答案解析答案：B解析：图中“绿色工程”地处撒哈拉沙漠，主要功能是防治土地荒漠化，水分是其分布的主要影响因素。知识点：
[知识点：]
荒漠化的防治,西亚和北非、撒哈拉以南非洲,区域可持续发展"
"1567142626-1974","https://study.baidu.com/tiku","[题目]
流域的自然背景决定河流的利用方式和流域的开发方向。题型: 判断题|难度: 一般|使用次数: 0|纠错复制收藏到空间加入选题篮查看答案解析答案：正确解析：流域的自然背景决定河流的利用方式和流域的开发方向。知识点：
[知识点：]
流域开发的地理条件、内容、综合治理措施"
"1567142626-1992","https://study.baidu.com/tiku","[题目]
由广东倡议成立的“泛珠三角”经济合作区包括了珠江流域的省(区)及其周围地区，其中有水系与珠江相通的省(区)是（   ）A粤、闽、赣、黔、滇、桂B桂、赣、粤、滇、黔、川C赣、粤、湘、桂、滇、黔D琼、闽、桂、滇、粤、黔题型: 单选题|难度: 困难|使用次数: 0|纠错复制收藏到空间加入选题篮查看答案解析答案：C解析：泛珠三角区域包括闽、赣、湘、桂、琼、川、滇、黔、粤，其中有水系与珠江相通的是赣、粤、湘、桂、滇、黔，C正确。知识点：
[知识点：]
区域工业化和城市化的推进过程产生的问题及解决措施"
"1567142626-1995","https://study.baidu.com/tiku","[题目]
关于田纳西河流域的土地利用的叙述，正确的是(     )ATVA在田纳西河流域开发过程中，调整农林牧结构，积极扩大耕地面积BTVA在田纳西河流域积极开垦草原来扩大耕地面积CTVA在田纳西河流域缩小林、草比重，积极建设自然保护区DTVA在田纳西河实行退耕还林，退耕还牧，有效地控制了水土流失题型: 单选题|难度: 一般|使用次数: 0|纠错复制收藏到空间加入选题篮查看答案解析答案：D解析：官方用语的TVA  ， 即是指田纳西河流域管理局。在田纳西河流域开发过程中，调整农林牧结构，不会积极扩大耕地面积，也不会破坏草地来扩大耕地面积，而是因地制宜发展农业生产，A错。B错。TVA在田纳西河流域积极建设自然保护区，应该是增加林、草比重，C错。TVA在田纳西河实行退耕还林，退耕还牧，有效地控制了水土流失，D对。知识点：
[知识点：]
流域开发的地理条件、内容、综合治理措施"
"1567142626-2017","https://study.baidu.com/tiku","[题目]
下列说法正确的是（ ）A田纳西河是密西西比河上流程最长、流量最大的支流B田纳西河流域地形全为平原C田纳西河流域虽然降水少，但河流落差大，所以水能资源丰富D流域内有丰富的煤炭、铅锌等矿产题型: 单选题|难度: 一般|使用次数: 0|纠错复制收藏到空间加入选题篮查看答案解析答案：D解析：本题考查田纳西河流域自然地理特征。流域内多山，地形起伏大，水力资源丰富；流域内属于亚热带湿润气候，降水集中在冬春季节；流域内矿产资源丰富，主要有煤、铁、铜、磷、锌等矿产。另外田纳西河与密西西比河无关联，方向位置不对。知识点：
[知识点：]
流域开发的地理条件、内容、综合治理措施"
"1567142626-2042","https://study.baidu.com/tiku","[题目]
田纳西河流域成为美国最大的电力供应基地的原因是 （    ）A水力资源极为丰富B煤炭资源极为丰富C铀矿资源极为丰富D流域内水电、火电、核电的大规模开发题型: 单选题|难度: 一般|使用次数: 0|纠错复制收藏到空间加入选题篮查看答案解析答案：D解析：田纳西河流域的开发以水能资源的梯级开发为核心，且结合流域内的火电开发和核电建设，提供了充足而廉价的电力资源，故成为全美最大的电力供应基地。知识点：
[知识点：]
流域开发的地理条件、内容、综合治理措施"
"1567142626-2048","https://study.baidu.com/tiku","[题目]
随着我国南方地区部分江河水库主要功能的退化，大坝将被拆除。当河流生态系统稳定之后，与拆坝前相比，将会出现的变化有（  ）A坝址上游枯水期平均水位上升B坝址上游汛期出现的季节提前C坝址下游径流量年际变化减少D坝址下游汛期洪峰流量增大题型: 单选题|难度: 一般|使用次数: 0|纠错复制收藏到空间加入选题篮查看答案解析答案：D解析：大坝拆除后，储水能力下降，上游枯水期平均水位下降，坝址上游汛期出现的季节推后；坝址下游，缺少了水库的调节，下游径流量年际变化加大，坝址下游汛期洪峰流量增大。据此可知答案为：D。知识点：
[知识点：]
流域开发的地理条件、内容、综合治理措施"
