web-scraper-order,web-scraper-start-url,item
"1567144578-8937","https://study.baidu.com/tiku","[题目]
下图中等高线的高度值自北向南递减，则（   ）Aa点的海拔高度大于b点Bb点的降水流向a地Ca、b两地海拔高度相等Da所在地为山脊、b所在地为山谷题型: 单选题|难度: 困难|使用次数: 0|纠错复制收藏到空间加入选题篮查看答案解析答案：B解析：因为图中等高线的高度值自北向南递减，所以a点的海拔高度小于b点；a处等高线向高处凸出，为山谷，b处等高线向低处凸出，为山脊，b点的降水流向a地。知识点：
[知识点：]
等高线地形图、地形剖面图"
"1567144578-8819","https://study.baidu.com/tiku","[题目]
图a是世界某区域的年降水量和年平均等温线图，图b是其区域简图。读图可知图示区域内（   ）A沿南回归线降水量自西向东减少B地形以高原为主，地势西高东低C西南部寒暖流交汇，渔业资源丰富D仅受暖流影响A比B气温高题型: 单选题|难度: 一般|使用次数: 0|纠错复制收藏到空间加入选题篮查看答案解析答案：C解析：读降水量分布图可知：图中沿南回归线降水量自西向东增加；从图中等高线的数值大小及分布分析，该地地形以高原为主，地势东高西低；而西南部寒暖流交汇，海水发生搅动，海底下面的营养盐类被带到表层，利于浮游生物生长，有充足的饵料，渔业资源丰富。故选C。知识点：
[知识点：]
等值线图,世界洋流分布规律及其对地理环境的影响"
"1567144578-9028","https://study.baidu.com/tiku","[题目]
阅读下列图文资料，完成下列各题。材料一：南美洲甲国简图材料二：L城为甲国首都，著名的游览城市。众多游客均反映该城市“气候温和，夏季气温很少超过31度，冬季很少低于13度。”“许多街道没有排水设施，房屋也没有雨檐”。1. 结合材料一，简述甲国的地形、地势特征。2. L城气候温和、许多街道没有排水设施，房屋也没有雨檐。请运用所学知识，解释这些地理现象的产生原因。题型: 综合题|难度: 一般|使用次数: 0|纠错复制收藏到空间加入选题篮查看答案解析答案：1. 甲国地形地势特征：西南高东北低，东北部为平原，西南部为山地，西部沿海为狭长平原。2. “气候温和”的原因：受沿岸秘鲁寒流的影响，夏季气温不太高；纬度位置低，加之海洋的调节，冬季气温较高。“街道无排水设施”的原因：当地属于热带沙漠气候，终年降水稀少。解析：⑴图中西南部有注记山脉且西部临海，则西南部地形为山地，西部沿海为狭长的平原；从图中河流流向为西南向东北，可以推出地势西南高东北低。所以甲国地形地势特征是：西南高东北低，东北部为平原，西南部为山地，西部沿海为狭长平原⑵L城位于沿海地区，该地区受秘鲁寒流的影响，寒流降温减湿，夏季气温不会太高；从图中看纬度位置低，加之海洋的调节，冬季气温也较高，所以“气候温和”；“街道无排水设施”主要是气候降水量少的原因，当地属于热带沙漠气候，终年降水稀少。据此可知答案为：（1）甲国地形地势特征：西南高东北低，东北部为平原，西南部为山地，西部沿海为狭长平原。（2）“气候温和”的原因：受沿岸秘鲁寒流的影响，夏季气温不太高；纬度位置低，加之海洋的调节，冬季气温较高。“街道无排水设施”的原因：当地属于热带沙漠气候，终年降水稀少。知识点：
[知识点：]
等高线地形图、地形剖面图,世界洋流分布规律及其对地理环境的影响"
"1567144578-8939","https://study.baidu.com/tiku","[题目]
在地形剖面图上，水平比例尺不变，垂直比例尺扩大，则（ 　 ）①更能体现地表起伏状况     ②可能会改变山高或河长　③会使水流更快，水能更丰富　 ④不会改变坡度大小A①②B②③C③④D①④题型: 单选题|难度: 一般|使用次数: 0|纠错复制收藏到空间加入选题篮查看答案解析答案：D解析：在地形剖面图上，水平比例尺不变，垂直比例尺扩大，不会改变坡度大小，更能体现地表起伏状况。知识点：
[知识点：]
等高线地形图、地形剖面图"
"1567144578-8990","https://study.baidu.com/tiku","[题目]
该图是沿我国一条经线所做的地形剖面图，横坐标表示纬度，读图后回答问题。据图判断，下列有关叙述正确的是（　）A该剖面线穿越了我国的一、二、三阶梯BB地区降水量西多东少C资源匮乏是该地区经济发展中最重要的限制因素DA地区的农作物主要有冬小麦、棉花等题型: 单选题|难度: 困难|使用次数: 0|纠错复制收藏到空间加入选题篮查看答案解析答案：B解析：因为这是沿我国一条经线所做的地形剖面图，根据图中的“8848.13米”，可以判定这是珠穆朗玛峰，结合图中所给的纬度位置，从而肯定B为天山，天山的降水主要来自北冰洋和大西洋，故其北部和西部的降水会比其南部和东部多，故选B。图中的－155米是我国的吐鲁番盆地，经过吐鲁番盆地与珠穆朗玛峰的经线只经过了我国的一级、二级阶梯，不会经过我国的第三级阶梯。图中的A所在地为我国的准葛尔盆地，地处中温带，冬小麦主要分布在暖温带。冬小麦、棉花要南疆分布比较普遍。知识点：
[知识点：]
等高线地形图、地形剖面图"
"1567144578-9048","https://study.baidu.com/tiku","[题目]
下图为大陆东岸某地等高线示意图，回答下列问题。1. 简述该地区地形的基本特点。2. 图中a、b两条支流中，判断水流较湍急的河流并说明理由。3. 该地区计划建一小型水库，从图中条件分析，大坝建在A、B、C、D、E、F何处较合适？说出水库的建设中会该地区带来负面影响。4. 图中居民点的分布有何特点？题型: 综合题|难度: 一般|使用次数: 0|纠错复制收藏到空间加入选题篮查看答案解析答案：1. 该地主要地形为低山丘陵，地势由西北向东南倾斜，起伏明显（或地势西北高东南低，地势落差大）。2. A处水流湍急；因为此处等高线密集，地势落差较大。3. F处合适修建水库；负面影响：库区水域淹没耕地；地下水位上涨，引起土壤盐渍化；施工过程导致地表植被破坏。4. 图中的居民点主要分布在地势平坦的河流沿岸地区，交通便利的地方。解析：⑴地形的特征要从地势的高低，主要的地形方面作答，从图中等高线的数值来分析，绝大部分的值为200m-500m,故以低山丘陵为主；而图中河流的流向大致向东南流，故地势西北高东南低。⑵水流速度快慢与地势陡缓有关，而地势陡缓与图中等高线疏密有关，等高线越密集，地势越陡，水流速度越快，a处附近等高线密集故地势较陡，流速快。⑶水库的选择要求在峡谷处，而在峡谷上游地区要有口袋形洼地，能够蓄水。故应该选在F处。水库建成后，口袋形洼地所在的地方有大量农田、村庄会被淹没，所以水库的建设中会带来掩面农田、迁移居民的负面影响。⑷本题主要考查影响人口分布的因素。读图分析可知，图中的居民点主要分布在地势平坦的河流沿岸地区，交通便利的地方。据此可知答案为：（1）该地主要地形为低山丘陵，地势由西北向东南倾斜，起伏明显（或地势西北高东南低，地势落差大）。（2）A处水流湍急     因为此处等高线密集，地势落差较大。（3）F处合适修建水库；负面影响：库区水域淹没耕地；地下水位上涨，引起土壤盐渍化；施工过程导致地表植被破坏（4）图中的居民点主要分布在地势平坦的河流沿岸地区，交通便利的地方。知识点：
[知识点：]
等高线地形图、地形剖面图"
"1567144578-9016","https://study.baidu.com/tiku","[题目]
雾是悬浮于近地面空气中的大量水滴或冰晶，使水平能见度小于1 km的物理现象。读我国某省多年平均年雾日数分布图(下图)，结合所学知识，完成下面小题。1. 该省位于我国的（  ）A. 西北地区B. 华南地区C. 东北地区D. 西南地区2. 下列因素中，对该省多年平均年雾日数空间分布影响最大的是（  ）A. 河流泥沙含量B. 地形起伏C. 西南季风强弱D. 土壤厚度题型: 综合题|难度: 一般|使用次数: 0|纠错复制收藏到空间加入选题篮查看答案解析答案：1. C2. B解析：⑴读图，根据经纬度，该省位于我国的东北地区是吉林省，C对。A、B、D错。⑵该省是吉林省，东南部以山地为主，西部以平原为主。多年平均雾日数从东南向西北减少。地形起伏是多年平均年雾日数空间分布影响最大的因素，B对。河流泥沙含量、土壤厚度与雾日数无关，A、D错。不受西南季风影响，C错。据此可知答案为：（1）C；（2）B。知识点：
[知识点：]
等值线图,中国的疆域行政区划、人口和民族"
"1567144578-8881","https://study.baidu.com/tiku","[题目]
在一幅地图上，北纬60°纬线上甲乙两点间相距33.3厘米，地方时相差4小时，下列说法正确的是A该图比例尺为1：100000B与甲乙两地相同的图上距离，在赤道上地方时相差4小时C比1：20000000小D在该区域1：5000000的新地图上，图幅面积比旧图增大了3倍题型: 单选题|难度: 一般|使用次数: 0|纠错复制收藏到空间加入选题篮查看答案解析答案：D解析：两地地方时相差4小时，其经度差为60°，计算60°N纬线上甲乙两地沿纬线的实际距离为60×111×cos60°=3330km，而图上距离为33.3cm，则该图比例尺为1/10000000，所以A、C选项错误。与甲乙两地相同的图上距离，在赤道上的经度差为60°纬线上的2倍，即经度差为120°，地方时差为8小时，所以B项错。当该区域新地图比例尺变为1：5000000是，即比例尺增大到2倍，面积比等于比例尺之比的平方,即新图的图幅面积就是旧图图幅面积2的平方倍，增大到4倍，比原来增加了3倍。知识点：
[知识点：]
地图的基本知识"
"1567144578-8857","https://study.baidu.com/tiku","[题目]
下图是我国东部某地等高线地形图,某校中学生在图示地区进行野外综合考察活动。下列说法正确的是(　　)A沿B线路上山省时省力B夜晚宿营点应选择A处C登山线路沿途植被垂直变化很大D火情瞭望台最佳位置在550米山顶处题型: 单选题|难度: 一般|使用次数: 0|纠错复制收藏到空间加入选题篮查看答案解析答案：D解析：图中B处等高线向高处突出，表示为沟谷，切密集，表示坡度较大，A错。夜晚宿营应选择地势较高的平地，而A地是小山丘，不适宜宿营，B错。登山线路高差小于550米，垂直高差较小，因此沿途植被垂直变化很小，C错。550米山顶是图中最高位置，因此，最适宜建火情瞭望台，D对。知识点：
[知识点：]
地图的基本知识"
"1567144578-8842","https://study.baidu.com/tiku","[题目]
下面为四幅等高线分布图，若图中等高线的数值皆由左上方向右下方递减，按要求完成下列小题。若四幅图的比例尺皆为1:10000，等高距分别为10米、20米、30米、40米,则坡度由小到大的排序是（）A①>②>③>④B④>③>②>①C①>④>③>②D④>①>③>②题型: 单选题|难度: 困难|使用次数: 0|纠错复制收藏到空间加入选题篮查看答案解析答案：A解析：四幅图图幅相同等高线条数相同，坡度为垂直距离比水平距离，比例尺相同，说明水平距离相同，等高距决定垂直距离的大小，等高距越大，垂直距离越大，坡度就越大，所以坡度由小大到大的顺序和等高距的大小顺序一样①>②>③>④，故Ａ正确。知识点：
[知识点：]
等高线地形图、地形剖面图"
