web-scraper-order,web-scraper-start-url,item
"1567144326-7256","https://study.baidu.com/tiku","[题目]
在太阳系中地球与其他行星的重要区别是（ ）A存在生命物质B质量最小C平均密度最小D日地距离较小题型: 单选题|难度: 简单|使用次数: 0|纠错复制收藏到空间加入选题篮查看答案解析答案：A解析：地球既是一颗普通的行星，又是一颗特殊的行星，其特殊之处就是它的上面有生命的存在，这是其他行星所不具备的，故本题选A。知识点：
[知识点：]
地球是太阳系中一颗既普通又特殊的行星"
"1567144326-6086","https://study.baidu.com/tiku","[题目]
关于时区的叙述不正确的是（　　）A全球共分成24个时区B北京时间不是北京的地方时，而是北京所在时区的区时C东经7°属于东时区D西经52°属于西三区题型: 单选题|难度: 一般|使用次数: 0|纠错复制收藏到空间加入选题篮查看答案解析答案：C解析：A、全球共分成24个时区，故不符合题意；B、北京时间不是北京的地方时，而是北京所在时区的区时，故不符合题意；C、东经7°属于中时区（用7°除以15°商0余7°，7°小于7.5°，位于零时区或中时区），故正确；D、西经52°属于西三区（用52°除以15°商3余7°，7°小于7.5°，位于西三区），故不符合题意．据此可知答案为：C．知识点：
[知识点：]
地球运动的地理意义"
"1567144326-6667","https://study.baidu.com/tiku","[题目]
下列有关太阳活动的叙述正确的是（　　）A黑子实际上并不黑，只是因为它的温度比太阳表面其他地方高B耀斑的多少和大小可以作为太阳活动强弱的标志C太阳光球有时会出现一块突然增大、增亮的斑块叫做耀斑D太阳光球常出现一些暗黑的斑点，叫做黑子题型: 单选题|难度: 一般|使用次数: 0|纠错复制收藏到空间加入选题篮查看答案解析答案：D解析：A、黑子实际上并不黑，只是因为它的温度比太阳表面其他地方低，故不符合题意；B、太阳黑子可以作为太阳活动强弱的标志，故不符合题意；C、太阳色球有时会出现一块突然增大、增亮的斑块叫做耀斑，故不符合题意；D、太阳光球常出现一些暗黑的斑点，叫做黑子，故正确．故选：D．知识点：
[知识点：]
太阳对地球的影响"
"1567144326-8558","https://study.baidu.com/tiku","[题目]
下列各图中的阴影部分代表黑夜，其中代表晨线的是 (    )A①③⑤B②④⑥C①②④D②⑤⑥题型: 单选题|难度: 简单|使用次数: 0|纠错复制收藏到空间加入选题篮查看答案解析答案：A解析：根据晨昏线定义，顺着地球自转方向，由夜进入昼的分界线是晨线，由昼进入夜的分界线是昏线。读图，图①中是晨线，①对。图②中是昏线，②错。图③中③是晨线，④是昏线。图⑤中，⑤是晨线 ，⑥是昏线。据此可知答案为：B。知识点：
[知识点：]
地球运动的地理意义"
"1567144326-6874","https://study.baidu.com/tiku","[题目]
“2012年地球将会遭遇强烈的超级太阳风暴，其破坏力将远远超过‘卡特里娜’飓风，而且地球上几乎所有的人都将难逃其灾难性的影响．”英国《新科学家》网站曾出现了这样一篇“耸人听闻”的文章．正确认识和辩证看待太阳活动十分必要．据此回答下题．有关太阳活动的叙述，不正确的是（　　）A太阳黑子是太阳表面的低温区域B太阳“强风”的出现是太阳活动最激烈的显示C太阳黑子的多少，可以作为太阳活动强弱的标志D太阳黑子与耀斑出现的周期相同题型: 单选题|难度: 一般|使用次数: 0|纠错复制收藏到空间加入选题篮查看答案解析答案：B解析：A、太阳黑子是太阳表面的低温区域，故不符合题意；B、耀斑是色球层上突然增亮的现象，是太阳活动最激烈的显示，故正确；C、太阳黑子的多少，可以作为太阳活动强弱的标志，故不符合题意；D、太阳黑子与耀斑出现的周期相同，故不符合题意．故选：B．知识点：
[知识点：]
太阳对地球的影响"
"1567144326-6303","https://study.baidu.com/tiku","[题目]
我国北方住宅区的楼房间距理论上应比南方宽，理由是（　　）A北方平原多B北方冬季白昼时间短C南方气候潮湿D北方正午太阳高度比南方小题型: 单选题|难度: 一般|使用次数: 0|纠错复制收藏到空间加入选题篮查看答案解析答案：D解析：A、南北方楼间距的差异主要是因为南北方的纬度差异导致的冬季正午太阳高度的差异，与地形因素关系不大，故不符合题意．B、北方冬季白昼时间短，只能说明北方住宅光照时间短，不能说明南北方楼间距差异的原因，故不符合题意．C、南方气候潮湿，是因为南方是亚热带、热带季风气候，属于湿润气候区，降水较多导致潮湿，与南北方楼间距大小无关，故不符合题意．D、北方纬度高，南方纬度低，冬季南方更靠近太阳直射点，所以正午太阳高度大，北方则相反，所以北方底楼要采到光必须要扩大楼间距，故正确．故选：D．知识点：
[知识点：]
地球运动的地理意义"
"1567144326-7174","https://study.baidu.com/tiku","[题目]
地球自转速度适中使地球表面温度日变化幅度不大。（    ）题型: 判断题|难度: 一般|使用次数: 0|纠错复制收藏到空间加入选题篮查看答案解析答案：正确解析：日地距离适中，能接受到的太阳光热适量，地球自转的周期适中，使地球表面温度的日变化不大，各大行星各行其道，互不干扰，使地球处于比较安全的宇宙环境中，自地球诞生以来，太阳没有发生明显的变化，地球所处的光照稳定。知识点：
[知识点：]
地球是太阳系中一颗既普通又特殊的行星"
"1567144326-6611","https://study.baidu.com/tiku","[题目]
读图，回答在6月到8月期间（　　）A正午太阳高度角①比②小B日出时间①比③早C④地白昼时间逐渐增加D便于在⑤地开展科学考察题型: 单选题|难度: 一般|使用次数: 0|纠错复制收藏到空间加入选题篮查看答案解析答案：B解析：A、由图可知，①在30°N附近，②在15°S附近，太阳直射点在6月到8月之间一直在北半球，因此①离太阳直射点始终近于②，所以①点正午太阳高度角始终大于②，故不符合题意．B、①在北半球，③在南半球．太阳直射点始终在北半球，北半球始终昼长夜短，昼长＞12小时，日出早于6点；南半球昼短夜长，昼长＜12小时，日出晚于6点，所以①日出早于③，故正确．C、④地位于30°N附近，在6月初到6月22前后，太阳直射点向北移动，④地昼渐长，夜渐短；当6月22日前后之后到8月，太阳直射点向南移动，④昼渐短，夜渐长，故不符合题意．D、⑤地在70°S附近，6月到8月太阳直射点一直在北半球，南半球昼短夜长，南极附近出现极夜现象，不适合开展科学考察，故不符合题意．故选：B．知识点：
[知识点：]
地球运动的地理意义"
"1567144326-6549","https://study.baidu.com/tiku","[题目]
北京时间2010年10月1日下午18时59分57秒，中国探月二期工程先导星“嫦娥二号”在西昌点火升空，准确入轨，赴月球拍摄月球表面影象、获取极区表面数据，为嫦娥三号在月球软着陆做准备．与银河系处于同一级别的天体系统是（　　）A太阳系B地月系C河外星系D总星系题型: 单选题|难度: 简单|使用次数: 0|纠错复制收藏到空间加入选题篮查看答案解析答案：C解析：与银河系处于同一级别的天体系统是河外星系．故选：C．知识点：
[知识点：]
地球所处的宇宙环境"
"1567144326-7264","https://study.baidu.com/tiku","[题目]
为了引起人们对气候变化的关注，世界自然基金会发起“地球一小时”行动，倡议每年3月最后一个星期六的当地时间20:30～21:30熄灯一小时。若将此行动在一年中再增加一次，仍使世界各国都能参与，建议行动日期应选在(     )A2月的第一个星期六B7月的第二个星期六C9月的第三个星期六D12月的第四个星期六题型: 单选题|难度: 困难|使用次数: 0|纠错复制收藏到空间加入选题篮查看答案解析答案：C解析：3月最后一个星期六全球昼夜分布状况与9月的第三个星期六全球昼夜状况相似（太阳直射点纬度基本相同都位于赤道偏北一点)，所以若一年中再增加一次，应选择在9月的第三个星期六较合适。选项C正确。知识点：
[知识点：]
地球运动的地理意义"
