web-scraper-order,web-scraper-start-url,item
"1567143452-4358","https://study.baidu.com/tiku","[题目]
下列关于潘帕斯草原大牧场的叙述，正确的是（　）A气候干旱，植被稀疏B大牧场土地租金昂贵C具有距海港近的区位优势D牧羊业占重要地位题型: 单选题|难度: 一般|使用次数: 0|纠错复制收藏到空间加入选题篮查看答案解析答案：C解析：潘帕斯草原的气候类型为亚热带湿润性气候，气候较为湿润，草类茂盛，A错误；该地区地广人稀，土地租金便宜，B错误；该地区距离阿根廷著名的海港布宜路斯艾利斯较近，便于产品运输，C正确；该地区的畜牧业以大牧场牧牛业为主，D错误。知识点：
[知识点：]
主要农业地域类型的特点及其形成条件"
"1567143452-4118","https://study.baidu.com/tiku","[题目]
读下图，1996—2010年间北京市制造业企业分布变化的特点是（   ）A主要集聚在远郊B市中心比重显著增加C远郊企业数量快速减少D从市中心向近郊扩散题型: 单选题|难度: 一般|使用次数: 0|纠错复制收藏到空间加入选题篮查看答案解析答案：D解析：读图，北京制造业主要集聚在远郊和近郊，不只是远郊，A错。市中心比重显著减少，B错。远郊企业数量多，快速增加，C错。制造业数量从市中心向近郊扩散，逐渐增加，D对。知识点：
[知识点：]
工业区位因素,城市的空间结构及其形成原因"
"1567143452-4900","https://study.baidu.com/tiku","[题目]
【环境保护】阅读材料，完成下列问题。2016年9月，一种橙色车轮，样式古怪的单车出现在北京街头和很多人的朋友圈。从上海开始创业的摩拜单车（mobike）终于来到了北京。使用摩拜单车智能手机应用，用户可以用自己的手机查看单车位置，继而预约并找到该车。通过扫描车身上的二维码开锁即可开始骑行。到达目的地后，在街边任意画白线区域内手动锁车完成归还手续。下图为摩拜单车示意图。指出摩拜单车出现在北京的地理意义。题型: 简答题|难度: 一般|使用次数: 0|纠错复制收藏到空间加入选题篮查看答案解析答案：降低能源消耗；减少汽车尾气排放；缓解城市交通拥堵状况；降低城市噪音污染；减少空间占用。解析：本题以摩拜单车为载体，考查环境保护等知识，旨在考查考生获取和解读地理信息、调动和运用地理知识、描述和阐述地理事物、论证和探讨地理问题的能力。摩拜单车作为城市一种新型的出行方式，能够减少机动车和私家车的使用，降低能源消耗，从而减少汽车尾气排放；也可以改变人们的出行方式，缓解城市交通拥堵状况；降低城市噪音污染；摩拜单车个头较小，减少空间占用。知识点：
[知识点：]
环境污染防治的主要措施,交通运输与地理环境"
"1567143452-4128","https://study.baidu.com/tiku","[题目]
影响我国城市空气污染分布（见下图）的最主要区位因素是（   ）A城市化水平B工业结构C植被覆盖率D地形地势题型: 单选题|难度: 一般|使用次数: 0|纠错复制收藏到空间加入选题篮查看答案解析答案：B解析：我国东部沿海的城市化水平高，西部地区城市化水平低，读图可以看到污染严重程度与经济水平并不一致，A错。图中污染严重地区主要是重工业比重大的地区，特别是高耗能的工业分布多的地区，所以主要区位因素是工业结构，B对。污染指数与植被覆盖率分布、地形地势的分布也不一致，C、D错。知识点：
[知识点：]
城市化对地理环境的影响,传统工业区和新兴工业区"
"1567143452-4543","https://study.baidu.com/tiku","[题目]
读“工业投入在产品成本中所占的比重示意图”，完成下列各题。1. 若x、y分别为原料及产品的运费占生产成本的比重，则①、④最有可能分别属于（    ）A. 纺织工业、冶金工业B. 啤酒工业、制糖工业C. 冶金工业、啤酒工业D. 制糖工业、纺织工业2. 若x、y分别为劳动力及科技投入占生产成本的比重，则产业部门①最适宜的区位条件是（    ）A. 近高等院校、环境优美B. 近能源基地、劳动力多C. 劳动力多、有大型电站D. 有大型矿藏、原料丰富题型: 综合题|难度: 一般|使用次数: 0|纠错复制收藏到空间加入选题篮查看答案解析答案：1. B2. A解析：（1）读图可知，①在产品成本构成中产品运费占比最大，应接近市场布局，④在产品成本构成中原料运费占比最高，应为原料指向型。纺织为劳动力指向型，冶金为动力指向型，啤酒为市场指向型，制糖为原料指向型。（2）读图可知，若x、y分别为劳动力及科技投入占生产成本的比重，则产业部门①为技术指向型工业。应接近高等院校，环境优美地区。据此可知答案为：（1）B；（2）A。知识点：
[知识点：]
工业区位因素"
"1567143452-3950","https://study.baidu.com/tiku","[题目]
下图为四个国家某年粮食作物生产状况示意图。甲国的农业地域类型最有可能为（    ）A大牧场放牧业B商品谷物农业C稻作农业D乳畜业题型: 单选题|难度: 一般|使用次数: 0|纠错复制收藏到空间加入选题篮查看答案解析答案：B解析：从图中看，甲国人均耕地面积大、人均收获量大、单位面积产量高，商品率高，为商品谷物农业，B正确；大牧场放牧业和乳畜业不生产粮食；稻作农业人均耕地面积小。知识点：
[知识点：]
主要农业地域类型的特点及其形成条件"
"1567143452-4119","https://study.baidu.com/tiku","[题目]
下图为某国玩具厂分布图。近年来，该国玩具厂与浙江玩具企业签订合同，从浙江大规模采购玩具成品并贴上该国玩具厂原有品牌标志后销售（OEM），其原因主要是（   ）A市场需求不断下降B运输成本不断升高C人口素质不断提升D生产成本不断增加题型: 单选题|难度: 一般|使用次数: 0|纠错复制收藏到空间加入选题篮查看答案解析答案：D解析：玩具生产是劳动密集型产业，该国采购玩具成品并贴上该国玩具厂原有品牌标志后销售，而不是自己生产销售，主要是劳动力工资上涨，生产成本增加，D对。能够大规模销售，说明市场需求没有下降，A错。从我国进口，运输距离远，运输成本会更高，B错。不能表现人口素质的提高，C错。知识点：
[知识点：]
工业区位因素"
"1567143452-4354","https://study.baidu.com/tiku","[题目]
有关中心商务区的特征，叙述正确的是（　　）A只是有大型商场、购物中心、专业化高级商店等的集中地B是一个担负商业中心和服务中心双重职能的特殊地区C昼夜人流和车流川流不息，热闹非凡D中心商务区的商业活动以货物批发为主题型: 单选题|难度: 一般|使用次数: 0|纠错复制收藏到空间加入选题篮查看答案解析答案：B解析：中心商务区的特征：经济活动最为繁忙；人口数量昼夜差别很大；建筑物高大稠密；内部分区明显。知识点：
[知识点：]
商业中心及其形成"
"1567143452-4229","https://study.baidu.com/tiku","[题目]
随着“网购”的兴起，商品的流通量不断增加。这促进了 （    ）A商业网点密度的加大B商业区的规模扩大C商业流通环节的增加D地域间的商业联系题型: 单选题|难度: 一般|使用次数: 0|纠错复制收藏到空间加入选题篮查看答案解析答案：D解析：商品流通量增大只是促进了地域间的商业联系。根据题目叙述：“购”使商品的流通量不断增加，从而促进了地域间的商业联系。 网络购物的消费者来源于网络，所以不一定能促进商业点密度的增大和商业区的规模扩大。所以本题选择D选项。知识点：
[知识点：]
商业中心及其形成"
"1567143452-4405","https://study.baidu.com/tiku","[题目]
图中三条以运输煤炭为主的铁路干线，由北向南依次是(    )A大秦线、神黄线、胶济线B大秦线、神黄线、焦（作）日（照）线C神黄线、焦（作）日（照）线，胶济线D神黄线、大秦线、焦（作）日（照）线题型: 单选题|难度: 一般|使用次数: 0|纠错复制收藏到空间加入选题篮查看答案解析答案：B解析：根据图示的分布位置判断，北线为山西大同到秦皇岛的大秦线；中线为陕西神府到黄骅港的神黄线；南线为焦作到日照的焦日线。知识点：
[知识点：]
交通运输布局及其变化对生产、生活和社会经济的影响"
