web-scraper-order,web-scraper-start-url,item
"1567142328-858","https://study.baidu.com/tiku","[题目]
2013 年政府工作报告提出，缩小收入分配差距，使发展成果更多更公平地惠及全体人民，这与以往政府提出的“尽快扭转收入差距扩大趋势”相比，有了一个更高的视角。下列对收入分配差距认识正确的是① 收入分配差距的存在违背了社会主义的本质要求② 收入分配差距过大，违背了公平原则，不利于社会稳定③ 适度的收入分配差距有利于激发劳动者的生产积极性④ 消除收入差距是社会土义市场经济的根本目标A①②B②③C③④D①④题型: |难度: |使用次数: 0|纠错复制收藏到空间加入选题篮查看答案解析答案：B解析：无知识点：
[知识点：]
社会主义市场经济的伦理要求,劳动就业与守法经营"
"1567142328-694","https://study.baidu.com/tiku","[题目]
“做蛋糕”与“分蛋糕”是经济社会面临的最基本的问题之一，既要把“蛋糕”做大，又要把“蛋糕”分好，“蛋糕”分得不合理，会影响人们把“蛋糕”做大的积极性，上述材料要求我们必须[ ]A正确处理效率与公平的关系B正确处理积累与消费的关系C正确处理集体与个人的关系D正确处理发展生产与保障基本生活的关系题型: |难度: |使用次数: 0|纠错复制收藏到空间加入选题篮查看答案解析答案：A解析：无知识点：
[知识点：]
社会主义市场经济的伦理要求"
"1567142328-1074","https://study.baidu.com/tiku","[题目]
材料：最近，常有手机用户收到一些以“老朋友”名义发来的短信，这些短信极易引诱收信人回复或回电，而只要手机用户一旦回复或回电，一笔不小的话费就会被冠以“某某业务”的名义扣除。与前两年相比，现在的“短信陷阱”骗术升级。业内人士提醒，发现内容中有“这是我的新手机号码”但没有署名的短信需谨慎回复；发现号码陌生且内容中无熟悉署名的短信尽量勿回；一些只响一两声就停的陌生电话号码也勿回拨。结合材料，运用所学的《经济生活》中市场主体的有关知识，谈谈如何促进短信市场的健康发展。（15分）题型: |难度: |使用次数: 0|纠错复制收藏到空间加入选题篮查看答案解析答案：①国家要加强宏观调控，综合运用经济手段、法律手段和必要的行政手段，严厉打击利用短信进行的违法犯罪、扰乱市场秩序的行为，营造良好的公平竞争环境。②国家要制定相应的法律法规，严格实施市场规则，加大对短信市场的管理。③建立健全社会信用制度，形成以道德为支撑，以法律为保障的社会信用制度，是规范市场秩序的治本之策。加快信用监督和失信惩戒制度的建立。④电信运营企业要遵守职业道德，树立诚信意识，开展正当竞争。⑤广大消费者要提高自我保护意识，法律意识，自觉维护自己的合法权益。（每个要点3分）试题分析：本题首先审读设问，抓住设问中“市场主体的有关知识”谈如何促进短信市场的健康发展。分析市场主体可知有国家、企业、消费者三方面入手谈措施。国家角度是加强宏观调控。制定相应的法律法规，严格实施市场规则，加大对短信市场的管理。建立健全社会信用制度。企业要诚信经营。消费者要提高自我保护意识等方面分析。点评：回答怎么办此类问题一是从课本知识中找方法，熟记教材中提到的相关知识；二是从材料中找方法，总结材料中提到的成功做法，找到材料中提到的存在问题，根据问题分别对不同主体提出相应的解决措施；三是主体发散法。回答时必须把观点和材料相结合，注意多角度思考。解析：无知识点：
[知识点：]
社会主义市场经济的伦理要求,劳动就业与守法经营"
"1567142328-445","https://study.baidu.com/tiku","[题目]
家庭是人生的第一课堂，父母是子女的第一任教师。家庭教育对子女的健康成长乃至终生都有不可替代的重要影响。父母对待子女要做到       （   ）
①抚养好子女    ②教育好子女   ③管教好子女    ④保护好子女A①②③④B①②③C①②D①题型: 单选题|难度: 一般|使用次数: 0|纠错复制收藏到空间加入选题篮查看答案解析答案：A解析：知识点：
[知识点：]
公民的道德生活"
"1567142328-536","https://study.baidu.com/tiku","[题目]
①社会主义市场经济是什么？ 是指市场在国家        下对资源配置起          作用的经济。社会主义市场经济有何基本特征？坚持      的主体地位是基本标志；以       为根本目标；能够实行           的宏观调控（显著特征）。题型: |难度: |使用次数: 0|纠错复制收藏到空间加入选题篮查看答案解析答案：①社会主义市场经济是什么？ 是指市场在国家宏观调控下对资源配置起基础性作用的经济。社会主义市场经济有何基本特征？坚持公有制的主体地位是基本标志；以共同富裕为根本目标；能够实行强有力的宏观调控（显著特征）。略解析：无知识点：
[知识点：]
社会主义市场经济的伦理要求,劳动就业与守法经营"
"1567142328-225","https://study.baidu.com/tiku","[题目]
科学难题征集活动有利于激发青少年探索未知世界的好奇心，培育青少年科技创新意识，引导他们(   )
①超越已有书本知识，否定科学理论权威
②拓展自由想象空间，摆脱已有思想观念
③关注当代科学现状，探寻科学发展的新思路
④培育科学问题意识，发现科学发展的突破点A①②B②③C③④D①④题型: 单选题|难度: 一般|使用次数: 0|纠错复制收藏到空间加入选题篮查看答案解析答案：C解析：知识点：
[知识点：]
面对科技进步的伦理冲突"
"1567142328-286","https://study.baidu.com/tiku","[题目]
春节前往往是商品销售的旺季,为了争夺节日市场,一些商家竞相打折狂送,推出买一送一、特价三折等优惠措施。在商家热闹的同时,物价部门也是门庭若市,不断有消费者投诉部分商品存在虚标原价、假打折、以次充好等现象。这种虚标原价、假打折等现象违背了     原则。      (   )A诚实信用原则B平等原则C效率原则D自愿原则题型: 单选题|难度: 一般|使用次数: 0|纠错复制收藏到空间加入选题篮查看答案解析答案：A解析：知识点：
[知识点：]
社会主义市场经济的伦理要求"
"1567142328-676","https://study.baidu.com/tiku","[题目]
公平正义是社会和谐的基本条件。针对收入分配领域存在的一些不容忽视的问题，近年来，党和国家采取向农民发放种粮补贴，全面取消农业税；提高最低工资标准和城市最低生活保障水平；调高个人所得税工资薪金所得减除标准；免除农村义务教育阶段学生学杂费；改革公务员工资制度等有力措施，加大收入分配制度改革力度，合理调整国民收入分配格局，更加关注社会公平。从收入分配的角度，说明国家应如何更加重视社会公平。____________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________题型: |难度: |使用次数: 0|纠错复制收藏到空间加入选题篮查看答案解析答案：（1）坚持和完善按劳分配为主体、多种分配方式并存的分配制度，坚持各种生产要素按贡献参与分配的原则。（2）政府要加强对收入分配的调节，规范收入分配秩序。提高低收入者的收入水平，扩大中等收入者比重，有效调节过高收入，取缔非法收入，把收入差距控制在一定范围内，防止两极分化，实现合理公平分配。（3）充分发挥财政和税收促进收入分配公平的作用。调整财政支出结构，加大对“三农”、教育和社会保障事业的投入；个人所得税也是调节个人收入、实现社会公平的有效手段。解析：无知识点：
[知识点：]
社会主义市场经济的伦理要求"
"1567142328-314","https://study.baidu.com/tiku","[题目]
下面这幅漫画主要揭示了(　　)
A转基因技术带来的伦理问题B克隆技术带来的伦理问题C试管婴儿、代孕母亲现象的出现所带来的伦理问题D器官移植技术带来的伦理问题题型: 单选题|难度: 一般|使用次数: 0|纠错复制收藏到空间加入选题篮查看答案解析答案：D解析：知识点：
[知识点：]
面对科技进步的伦理冲突"
"1567142328-1705","https://study.baidu.com/tiku","[题目]
2011年是中国共产党成立90周年，也是实施“十二五”规划的开局之年。阅读下列材料并回答问题。材料一：《中共中央关于制定国民经济和社会发展第十二个五年规划的建议》强调，深入贯彻科学发展观，顺应各族人民过上更美好生活的新期待，使发展成果惠及全体中国人民。（1）请你概括上述两图反映的共同经济信息。__________________________________________________________________________________________________________________________________________________________________材料二：山东省Z市提升传统产业采取了以下措施：一是加大技术创新研发投入和核心技术研发力度，并与高等院校、科研院所开展广泛的技术、人才合作与交流；二是推动信息技术与传统产业结合，互联网和计算机辅助设计在纺织、化工等传统企业得到广泛应用；三是提高传统行业技术装备水平，使工业万元增加值能耗由原来的3.3吨标准煤下降到2010年的2.2吨标准煤。从而使传统产业脱胎换骨，迸发出了新的发展活力。（2）结合上述措施，运用经济生活知识，说明Z市是如何提升传统产业、实现科学发展的？__________________________________________________________________________________________________________________________________________________________________题型: |难度: |使用次数: 0|纠错复制收藏到空间加入选题篮查看答案解析答案：（1）改革开放以来包括“十一五”时期，随着我国经济总量（GDP）不断增长，国家财政收入不断增长，城乡居民收入也在不断增长。但是居民收入增长缓慢，尤其是农村居民纯收入的增幅低于GDP、国家财政收入以及城镇居民收入的增幅。（2）①贯彻落实科学发展观的要求，提高自主创新能力，经济发展要紧紧依靠科技进步和自主创新。加大技术研发力度和重视人才来掌握核心技术；②加快转变经济发展方式，推动产业结构优化升级。走新型工业化道路，真正依靠科技进步、劳动者素质提高和管理创新实现发展；③加强能源资源节约和生态环境保护，节能减排、实现可持续发展。解析：无知识点：
[知识点：]
社会主义市场经济的伦理要求"
