web-scraper-order,web-scraper-start-url,item
"1567142440-1870","https://study.baidu.com/tiku","[题目]
8月18日,中国首家互联网法院在（  ）揭牌,将集中管辖该地区网络购物合同纠纷等涉网案件,实现涉网案件纠纷在线审理,这是我国司法改革的又一重大举措。A北京B杭州C重庆D上海题型: 单选题|难度: 一般|使用次数: 0|纠错复制收藏到空间加入选题篮查看答案解析答案：B解析：知识点：
[知识点：]
17年时事热点"
"1567142440-1909","https://study.baidu.com/tiku","[题目]
继家庭联产承包责任制后，农村土地制度改革将土地承包经营权分为承包权和经营权，实行所有权、承包权、经营权（以下简称“三权”）分置并行，这是农村改革又一重大制度创新。“三权分置” （  ）A将有助于我国基本经济制度的完善，促进国有经济壮大发展B有利于明晰土地产权关系，维护农民集体、承包农户、经营主体的权益C是农村基本经营制度的自我完善，符合生产力要适应生产关系发展的客观规律D促进各种所有制经济在我国所有制结构中平等的地位题型: 单选题|难度: 一般|使用次数: 0|纠错复制收藏到空间加入选题篮查看答案解析答案：B解析：知识点：
[知识点：]
14年时事热点,公有制为主体"
"1567142440-1921","https://study.baidu.com/tiku","[题目]
（2017·江苏）2017 年 2 月 5 日，新世纪以来第 14 个关注“三农”的中央一号文件发布。该文件指出，在新的历史阶段农业农村工作的主线是（    ）A进一步增强农村发展活力B全面深化农村改革，加快推进农业现代化C深入推进农业供给侧结构性改革D加大改革创新力度，加快农业现代化建设题型: 单选题|难度: 一般|使用次数: 0|纠错复制收藏到空间加入选题篮查看答案解析答案：C解析：知识点：
[知识点：]
17年时事热点"
"1567142440-1892","https://study.baidu.com/tiku","[题目]
2016年12月14至16日，中央经济工作会议在北京举行。会议强调，___________是治国理政的重要原则，也是做好经济工作的方法论。（    ）A稳中求进工作总基调B依法治国C以人为本D依法执政题型: 单选题|难度: 简单|使用次数: 0|纠错复制收藏到空间加入选题篮查看答案解析答案：A解析：知识点：
[知识点：]
16年时事热点"
"1567142440-1890","https://study.baidu.com/tiku","[题目]
2016年9月4日至5日，以“构建创新、活力、联动、包容的世界经济”为主题的国际会议在中国杭州召开。该会议是（   ）A  二十国集团领导人峰会B世界互联网大会C亚太经合组织部长级会议D上海合作组织峰会题型: 单选题|难度: 简单|使用次数: 0|纠错复制收藏到空间加入选题篮查看答案解析答案：A解析：知识点：
[知识点：]
16年时事热点"
"1567142440-1894","https://study.baidu.com/tiku","[题目]
7月7日，世界最长的海底隧道           贯通，标志着先后经历13年论证、设计、施工的“世纪工程”主体工程全线贯通。（    ）A杭州湾跨海大桥B青岛胶州湾海底隧道C港珠澳大桥海底隧道D香港海底隧道题型: 单选题|难度: 简单|使用次数: 0|纠错复制收藏到空间加入选题篮查看答案解析答案：C解析：知识点：
[知识点：]
17年时事热点"
"1567142440-1904","https://study.baidu.com/tiku","[题目]
12月6日， （  ）宣布承认耶路撒冷为以色列首都,国际社会对此普遍表示强烈反对。A英国B俄罗斯C法国D美国题型: 单选题|难度: 一般|使用次数: 0|纠错复制收藏到空间加入选题篮查看答案解析答案：D解析：知识点：
[知识点：]
17年时事热点"
"1567142440-1907","https://study.baidu.com/tiku","[题目]
（2015•江苏卷）2014年被称为我国“全面深化改革元年”，经济社会发展迈出了坚实步伐。下列选项中，能体现激发市场活力的是A南水北调中线一期工程正式通水，沿线约6000万人直接受益B国务院公布《事业单位人事管理条例》，系统规范事业单位人事管理C国务院常务会议决定，在粤、津、闽特定区域再设三个自由贸易园区D国务院印发《关于深化考试招生制度改革的实施意见》推进考试招生制度改革题型: 单选题|难度: 一般|使用次数: 0|纠错复制收藏到空间加入选题篮查看答案解析答案：C解析：知识点：
[知识点：]
14年时事热点"
"1567142440-1903","https://study.baidu.com/tiku","[题目]
以“创新物联时代、共享全球智慧”为主题的世界物联网峰会于2016年10月31日至11月1日在     隆重举行。2016年12月6日至8日,以“让制造更聪明”为主题的2016世界智能制造大会在      举办。两大世界级智慧盛会接连在江苏举行，充分说明江苏深入推进江苏制造与信息化、智能化融合发展的信心与决心。（  ）A苏州  南京B南京  无锡C南京  苏州D无锡  南京题型: 单选题|难度: 简单|使用次数: 0|纠错复制收藏到空间加入选题篮查看答案解析答案：D解析：知识点：
[知识点：]
16年时事热点"
"1567142440-1927","https://study.baidu.com/tiku","[题目]
2016年，是中国工农红军长征胜利（    ）A70周年B80周年C90周年D100周年题型: 单选题|难度: 简单|使用次数: 0|纠错复制收藏到空间加入选题篮查看答案解析答案：B解析：知识点：
[知识点：]
16年时事热点"
"1567142440-1891","https://study.baidu.com/tiku","[题目]
我校2017年高考文理科共上线        人，创历史新高。（    ）A350B380C391D430题型: 单选题|难度: 简单|使用次数: 0|纠错复制收藏到空间加入选题篮查看答案解析答案：C解析：知识点：
[知识点：]
17年时事热点"
"1567142440-1922","https://study.baidu.com/tiku","[题目]
（2017·江苏）2017 年 3 月 15 日，第十二届全国人民代表大会第五次会议通过了《中华人民共和国民法总则》。该法律（    ）A具有最高的法律效力B是我国民法典编纂的开篇之作C废除了现行民法通则D奠定了我国整个法律制度的基础题型: 单选题|难度: 一般|使用次数: 0|纠错复制收藏到空间加入选题篮查看答案解析答案：B解析：知识点：
[知识点：]
17年时事热点"
"1567142440-1913","https://study.baidu.com/tiku","[题目]
（2017·江苏）2016 年 9 月 25 日，我国一项国家重大科技基础设施在贵州正式启用，这标志着我国在科学前沿实现了重大原创突破。这项设施是（   ）A500 米口径球面射电望远镜B天宫二号空间实验室C“神威·太湖之光”超级计算机D“蛟龙号”载人潜水器题型: 单选题|难度: 一般|使用次数: 0|纠错复制收藏到空间加入选题篮查看答案解析答案：A解析：知识点：
[知识点：]
16年时事热点"
"1567142440-1924","https://study.baidu.com/tiku","[题目]
9月4日,国家量子保密通信“（  ）”技术验证及应用示范项目技术验收在中国科大举行,世界首条量子保密通信骨干网已经具备开通条件。A京沪干线B沪杭干线C沪宁干线D京广干线题型: 单选题|难度: 一般|使用次数: 0|纠错复制收藏到空间加入选题篮查看答案解析答案：A解析：知识点：
[知识点：]
17年时事热点"
"1567142440-1872","https://study.baidu.com/tiku","[题目]
中国于2017年接任金砖国家轮值主席国，将于今年9月承办金砖国家领导人第九次会晤。本次会晤的举办地在（    ）A江苏苏州B浙江杭州C云南昆明D福建厦门题型: 单选题|难度: 简单|使用次数: 0|纠错复制收藏到空间加入选题篮查看答案解析答案：D解析：知识点：
[知识点：]
17年时事热点"
