web-scraper-order,web-scraper-start-url,item
"1566201591-749","https://study.baidu.com/tiku","[题目]
世界著名作曲家莫扎特曾师从伟大的作曲家海顿。有一次莫扎特写了一段曲子让海顿弹奏，海顿弹奏了一会儿惊呼起来：“这是什么曲子呀，当两手分别在钢琴两端弹奏时，怎么会有一个音符出现在键盘中间呢？看来任何人也无法弹奏这样的曲子。”  莫扎特接过乐谱弹奏，遇到那个出现在键盘中间的音符时，只见他俯下身，用鼻子弹奏出来。这一动作令海顿感慨不已。  上述材料反映了思维创新的什么特征？(要求写出两个特征)材料如何体现思维创新的这些特征？题型: 简答题|难度: 一般|使用次数: 0|纠错复制收藏到空间加入选题篮查看答案解析答案：解析：知识点：
[知识点：]
结合实践，善于创新"
"1566201591-697","https://study.baidu.com/tiku","[题目]
（2015•四川）按照“科教兴农、人才强农、新型职业农民国家”的要求，农业部于2014年7月正式启动实施新型职业农民培育工程。2015年，中央财政安排11亿元经费继续推进该项工作。回答以下问题。1.上述材料表明，我国政府（  ）
①推进简政放权，促使农业发展符合经济规律
②坚持科学决策，提高服务农业的能力和水平
③组织文化建设，为农业的发展提供智力支持
④实施经济调节，健全农村基本公共服务体系A.①②  B.①④C.②③D.③④1.与传统培训不同，新型职业农民培育包括新型职业农民成长的全过程。即教育培育、认定管理和政策扶持等。从哲学角度看，这一转变（  ）
①体现了辩证的否定是事物发展的环节
②体现了创造性思维能检验和发展真理
③坚持了矛盾的普遍性与特殊性的统一
④通过变革生产关系促进了生产力发展A.①②B.①③C.②④D.③④1.某省对经过培训和考核、懂技术、会 经营的农民进行“新型高级职业农民”资格认证，并对他们所带领的合作社、农业园区、农业龙头企业给予土地流转、融资贷款、项目扶持等政策倾斜。这样做能够（  ）
①培育新型农业经营主体，发挥其辐射带动作用
②提高农业生产技术水平，确保农产品有效供给
③转变农业生产经营模式，促进农业集约化发展
④创新农村土地产权制度，增加农民财产性收入A.①②B.①③C.②④D.③④题型: 综合题|难度: 一般|使用次数: 0|纠错复制收藏到空间加入选题篮查看答案解析答案：CBB解析：知识点：
[知识点：]
树立科学思维的观念,我国政府的主要职能"
"1566201591-667","https://study.baidu.com/tiku","[题目]
某天，一辆小轿车被盗，经过半个月的侦察，现确定犯罪嫌疑人是甲乙丙丁四人中的一人。在审讯中，四人口供如下：甲：我不是罪犯乙：丁是罪犯丙：乙于五天前找人卖盗车

丁：盗车的不是我1.假定这四人中只有一人说真话，请问罪犯是谁？1.假定这四人中只有一人说假话，则罪犯又是谁？题型: 材料分析题|难度: 困难|使用次数: 0|纠错复制收藏到空间加入选题篮查看答案解析答案：解析：【分析】本题重点考查学生形式逻辑的基本规律相关的知识。【点评】有一定的难度。

【分析】本题重点考查学生形式逻辑的基本规律相关的知识。【点评】有一定的难度。

知识点：
[知识点：]
遵循形式逻辑的要求"
"1566201591-671","https://study.baidu.com/tiku","[题目]
下列三段论推理是否有效，并分析原因。
“艾滋病不是源于中国，肺炎不是艾滋病，所以肺炎不是源于中国”。题型: 辨析题|难度: 一般|使用次数: 0|纠错复制收藏到空间加入选题篮查看答案解析答案：解析：知识点：
[知识点：]
树立科学思维的观念"
"1566201591-670","https://study.baidu.com/tiku","[题目]
在人民币汇率问题上我国一直坚持谨慎的态度。坚持人民币汇率机制的改革进程将根据经济情况和支付平衡来决定，防止人民币急剧升值所带来的严重影响。1987年的《广岛协议》导致了日元的大幅升值，从而使日本的经济陷入了严重的停滞之中，也给我国货币政策的实施提供了一定的借鉴意义。1.上述材料表明，我国借鉴日本的经验体现了怎样的推理形式？1.运用这种推理形式，应注意哪些因素？题型: 材料分析题|难度: 困难|使用次数: 0|纠错复制收藏到空间加入选题篮查看答案解析答案：解析：【分析】运用类比推理解决现实问题。【点评】有一定的难度。

【分析】运用类比推理解决现实问题。【点评】有一定的难度。

知识点：
[知识点：]
树立科学思维的观念"
"1566201591-744","https://study.baidu.com/tiku","[题目]
从传递关系，反传递关系，偶传递关系的角度，分别分析下列关系，判断属于何种关系

陈爽与周玉是同龄人，周玉与李倩是同龄人；
王芳比周玉大两岁，周玉比王艳大两岁；
陈爽与周玉是朋友，周玉与李倩是朋友。题型: 简答题|难度: 一般|使用次数: 0|纠错复制收藏到空间加入选题篮查看答案解析答案：解析：知识点：
[知识点：]
树立科学思维的观念"
"1566201591-728","https://study.baidu.com/tiku","[题目]
十一届三中全会以后，我国农村大胆冲破“左”的思想束缚，改变不适应生产力发展的体制，全面推行各种形式的承包责任制，调动了广大干部群众的积极性，开创了新局面，取得了巨大的成就。在城市，如果从实际出发，创造性地积极推广农村的这些基本经验，那么，也可以开创新局面，取得巨大的成就。分析上述类比推理是否正确，为什么？题型: 简答题|难度: 一般|使用次数: 0|纠错复制收藏到空间加入选题篮查看答案解析答案：解析：知识点：
[知识点：]
树立科学思维的观念"
"1566201591-704","https://study.baidu.com/tiku","[题目]
苏东坡曾经写过一首颇有哲理的诗：“横看成岭侧成峰，远近高低各不同。不识庐山真面目，只缘身在此山中。”这里苏东坡提到的“横看”、“侧看”、“远看”、“近看”、“高看”、“低看”，都是“看”的不同角度。不同的视角，所看到的景物自然也不相同。思考：依据材料回答下列问题：1.诗歌反映的是一种什么样的思维方法？1.这种思维方法的特征是什么？题型: 材料分析题|难度: 一般|使用次数: 0|纠错复制收藏到空间加入选题篮查看答案解析答案：解析：【分析】准确把握发散思维方式。【点评】难度适中。

【分析】准确把握发散思维方式。【点评】难度适中。

知识点：
[知识点：]
树立科学思维的观念"
"1566201591-852","https://study.baidu.com/tiku","[题目]
对逆向思维和正向思维的关系的表述正确的是                              (　　)  ①二者在方向上正好相反                   ②二者的目的也相反
③只有掌握了正向思维的正，才能合理有效的进行逆向思维的逆 ④正逆应当互补，才能相得益彰A①②③B①③④C②③④D①②④题型: 单选题|难度: 一般|使用次数: 0|纠错复制收藏到空间加入选题篮查看答案解析答案：B解析：知识点：
[知识点：]
树立科学思维的观念"
"1566201591-669","https://study.baidu.com/tiku","[题目]
选修4——科学思维常识
阅读下列材料，回答问题
“分山到户，全体村民平均分配”是集体林权制度改革采取的基本模式。福建省邵武市城郊镇芹田村另辟蹊径，针对许多地方出现山难分、经营分散、难以对接大市场等种种问题。探索全民入股的新模式，提出“均权均利不分山，人人入股合作社”。这种模式使全体村民成了股东，产权明晰，以市场机制经营林地，让经济效益和林农利益达到最大化。1.芹田村探索林权改革新模式的做法蕴含的思维方法是（  ）A.发散思维B.逆向思维C.聚合思维D.类比推理1.这种思维方法在材料中是如何运用的？对于思维创新有什么启迪？题型: 综合题|难度: 一般|使用次数: 0|纠错复制收藏到空间加入选题篮查看答案解析答案：B解析：知识点：
[知识点：]
运用辩证思维方法"
"1566201591-748","https://study.baidu.com/tiku","[题目]
人们初次见面时得到的“第一印象”，可以看作是一种直觉意义上的认识。许多人的经验是，经过较长时间的相处后，能够得到更多或更深刻的了解，而“第一印象”往往也能反映某种本质特征。谈谈你对上面这段话的理解。题型: 简答题|难度: 困难|使用次数: 0|纠错复制收藏到空间加入选题篮查看答案解析答案：解析：知识点：
[知识点：]
树立科学思维的观念"
"1566201591-760","https://study.baidu.com/tiku","[题目]
甲同学读了某篇散文，评论道：“这篇散文不但文笔生动，而且富有哲理。”乙同学读后说：“我不同意你的观点。说它文笔生动我不反对，但说它富有哲理实在谈不上。”甲同学反驳说：“你既然不同意我的观点，却又承认它文笔生动，这不是自相矛盾吗？” 请问：甲同学的评论属于什么判断？ 上述对话中谁的话不合逻辑，为什么？题型: 简答题|难度: 一般|使用次数: 0|纠错复制收藏到空间加入选题篮查看答案解析答案：解析：知识点：
[知识点：]
树立科学思维的观念"
"1566201591-818","https://study.baidu.com/tiku","[题目]
在不相容选言推理过程中，能够使用的推理形式是                                   (　　)  ①否定肯定式　②肯定否定式　③肯定前件式　④否定后件式A①②B③④C①③D②④题型: 单选题|难度: 一般|使用次数: 0|纠错复制收藏到空间加入选题篮查看答案解析答案：A解析：知识点：
[知识点：]
树立科学思维的观念"
"1566201591-674","https://study.baidu.com/tiku","[题目]
吉尔福特说：“正是在扩散性思维中，我们看到了创造性思维最明显的标志。”1.你对上述内容是如何理解的？1.请结合这一名言分析，我们在思维创新的过程中应如何正确运用发散思维才能达到目的？题型: 材料分析题|难度: 困难|使用次数: 0|纠错复制收藏到空间加入选题篮查看答案解析答案：解析：【分析】准确的把握和运用发散思维，解决实际问题。【点评】有难度。

【分析】准确的把握和运用发散思维，解决实际问题。【点评】有难度。

知识点：
[知识点：]
树立科学思维的观念"
"1566201591-735","https://study.baidu.com/tiku","[题目]
下列对“犯罪”、“邮件”概念的划分是否正确，为什么？ ①犯罪分为故意犯罪、过失犯罪、共同犯罪。②邮件有电子邮件、平寄邮件、国际邮件几大类。题型: 简答题|难度: 一般|使用次数: 0|纠错复制收藏到空间加入选题篮查看答案解析答案：解析：知识点：
[知识点：]
树立科学思维的观念"
"1566201591-750","https://study.baidu.com/tiku","[题目]
雷电是一种自然现象。在古代，人们一直将雷电神化，误认为是雷电发怒。直至近随着富兰克林、法拉第等人的积极探索，做了大量的实验，才揭示了电的本质，人们才认识到积云所带的电达到一定程度时，就会穿过空气放电，使两种电荷发生中和并产生火花这便是雷电现象。上述对雷电的认识经历了怎样的发展阶段？题型: 简答题|难度: 困难|使用次数: 0|纠错复制收藏到空间加入选题篮查看答案解析答案：解析：知识点：
[知识点：]
树立科学思维的观念"
"1566201591-859","https://study.baidu.com/tiku","[题目]
马克思从分析商品开始，认识到商品的价值是由劳动创造的，是其本质属性，进而分析货币，研究了资本主义的生产过程、流通过程和资本主义的生产总过程，写出了《资本论》一书，从而建立起一个再现资本主义社会的严密的科学体系。上述材料对我们实现从思维抽象上升到思维具体正确的做法（     ）  ①要选择一个合适的上升起点                    ②确定逻辑中介
③正确地运用从思维抽象上升到思维具体的方法，④把握客观对象的整体及其发展规A①②③④B③④C①③④D②③④题型: 单选题|难度: 一般|使用次数: 0|纠错复制收藏到空间加入选题篮查看答案解析答案：A解析：知识点：
[知识点：]
树立科学思维的观念"
"1566201591-739","https://study.baidu.com/tiku","[题目]
2012年11月18日，人民网报道了一则笑话：有位警察到森林打猎，他在野兽经常出没的地方隐藏起来。忽然，一只鹿跑了出来，这位警察立即跳出灌木丛，朝天开了一枪，并大喊：“站住，我是警察！”。请简要分析这位警察的思维特点。题型: 简答题|难度: 一般|使用次数: 0|纠错复制收藏到空间加入选题篮查看答案解析答案：解析：知识点：
[知识点：]
结合实践，善于创新"
"1566201591-731","https://study.baidu.com/tiku","[题目]
随着铁路修进青藏高原，人流、物流、信息流等将加速这块古老土地的现代嬗变，将深刻影响这一地区的经济和社会发展格局。在“铁轨经济”的巨大牵引下，青藏高原的产业资源和文化优势将进一步整合，产业合作与分工在市场资源的配置下将更加明晰，最终将形成一个青藏高原经济区域，成为西部大开发过程中的一个重要发展机会。请结合材料，运用辩证思维的方法为建设青藏高原经济区域提几条建议。题型: 简答题|难度: 一般|使用次数: 0|纠错复制收藏到空间加入选题篮查看答案解析答案：解析：知识点：
[知识点：]
运用辩证思维方法"
"1566201591-797","https://study.baidu.com/tiku","[题目]
现代商业战略的一个重要任务就是品牌创造。品牌最持久的含义和实质是其价值、文化和个性。当人们对一个企业及其产品的性能、外观、售后服务、文化价值充分信任时，品牌价值便得以确立。下列举措中，体现“企业确立和维持品牌价值”理念的有（   ）。
①重视品牌推广和售后，提高品牌产品附加值            
②培育企业文化，树立良好的信誉和形象
③提高自主创新能力，形成品牌竞争优势             
④健全上下游产业链条，多产业经营A①②B②③C①③D③④题型: 单选题|难度: 一般|使用次数: 0|纠错复制收藏到空间加入选题篮查看答案解析答案：B解析：知识点：
[知识点：]
结合实践，善于创新,创新与借鉴、融合的关系"
"1566201591-683","https://study.baidu.com/tiku","[题目]
辨析：思维的过程是隐秘的，人们无法揭示思维的奥秘，掌握思维的规律。题型: 辨析题|难度: 一般|使用次数: 0|纠错复制收藏到空间加入选题篮查看答案解析答案：解析：知识点：
[知识点：]
树立科学思维的观念"
"1566201591-723","https://study.baidu.com/tiku","[题目]
(2011年福州模拟)中国特色社会主义理论体系，就是包括邓小平理论、“三个代表”重要思想以及科学发展观等重大战略思想在内的科学理论体系。这个理论体系坚持和发展了马克思列宁主义、毛泽东思想，凝结了几代中国共产党人带领人民不懈探索实践的智慧和心血，是马克思主义中国化的最新成果，是党最宝贵的政治和精神财富，是全国各族人民团结奋斗的共同思想基础。从科学思维的角度，谈谈你是如何理解中国特色社会主义理论体系的“科学性”的。题型: 简答题|难度: 困难|使用次数: 0|纠错复制收藏到空间加入选题篮查看答案解析答案：解析：知识点：
[知识点：]
结合实践，善于创新"
"1566201591-913","https://study.baidu.com/tiku","[题目]
以“一个有效的三段论，或其大前提是肯定的，或其小前提是肯定的”为一前提进行选言推理，则另一前提可以是                                                                      (　　)  ①这个有效的三段论大前提是肯定的　②这个有效的三段论大前提不是肯定的　③这个有效的三段论小前提是肯定的　④这个有效的三段论小前提不是肯定的A①②B③④C①③D②④题型: 单选题|难度: 困难|使用次数: 0|纠错复制收藏到空间加入选题篮查看答案解析答案：D解析：知识点：
[知识点：]
树立科学思维的观念"
"1566201591-732","https://study.baidu.com/tiku","[题目]
连江县山仔水库所在的敖江是福州市区的第二水源。近年来，由于受上游污染物排放影响，敖江总氮、总磷等略有超标。鱼儿离不开水，但鱼儿能否起到改善水质的作用呢?2009年4月福州市环保局尝试着向该水库投入以藻类等浮游生物为食的50万尾鲶鱼、草鱼等鱼苗，经检测大约去除了水库内l5吨氮和2。5吨磷。此后，福州市已先后6次向山仔水库放养生态鱼苗500多万尾，水库内已经初步形成藻类消化氮、磷等物质，鱼吃藻的良性生态循环系统，冬季水库水能见度可达1．5米。 这一逆向思维方法在材料中是如何体现的?题型: 简答题|难度: 一般|使用次数: 0|纠错复制收藏到空间加入选题篮查看答案解析答案：解析：知识点：
[知识点：]
树立科学思维的观念"
"1566201591-781","https://study.baidu.com/tiku","[题目]
漫画《就在这块取》讽刺了有些人金钱至上的人生观。这是属于(　　)  A抽象思维B形象思维C个体思维D群体思维题型: 单选题|难度: 一般|使用次数: 0|纠错复制收藏到空间加入选题篮查看答案解析答案：B解析：知识点：
[知识点：]
树立科学思维的观念"
"1566201591-724","https://study.baidu.com/tiku","[题目]
甲举办课外兴趣小组聚会，对乙说：“如果我请你，你一定要来。”对丙说；“只有我请你，你才来。”对丁说：“如果我请你，你就来；而且只有我请你，你才来。”事后，甲邀请了丙，而乙和丙都来了。阅读上述背景材料，说一说：来的是否该来，没来的是否不该来，为什么？题型: 简答题|难度: 困难|使用次数: 0|纠错复制收藏到空间加入选题篮查看答案解析答案：解析：知识点：
[知识点：]
树立科学思维的观念"
"1566201591-863","https://study.baidu.com/tiku","[题目]
任何判断都必须用语句表达。下列语句中，不能够准确表达判断的是(　　)A苏轼是伟大的诗人B飞机C天空格外的蓝，白云格外的白D奇数是不能被2整除的数题型: 单选题|难度: 一般|使用次数: 0|纠错复制收藏到空间加入选题篮查看答案解析答案：B解析：知识点：
[知识点：]
树立科学思维的观念"
"1566201591-888","https://study.baidu.com/tiku","[题目]
运用辩证思维的方法来分析和把握形势，就必须坚持用联系的观点、发展的观点、全面的观点看问题，这是因为                                                                                 (　　)A唯物辩证法是唯一科学的方法B客观世界本来就是一个普遍联系、变化发展和充满矛盾的世界C唯物辩证法是与形而上学根本对立的世界观和方法论D唯物辩证法为我们指明了当前形势发展的方向题型: 单选题|难度: 一般|使用次数: 0|纠错复制收藏到空间加入选题篮查看答案解析答案：B解析：知识点：
[知识点：]
运用辩证思维方法"
"1566201591-786","https://study.baidu.com/tiku","[题目]
哲学大师黑格尔说过：“用分析的方法来研究对象就好像剥葱一样，将葱皮一层层剥掉，但原葱已经不在了。”这句话启示我们                                                     (　　)A分析必须与综合相结合，而不能单纯的“分”B认识问题必须坚持先综合后分析的原则C分析必须与合理想象和创造性思维相结合D分析必须抓住各要素之间的内在联系，不能简单地相加题型: 单选题|难度: 一般|使用次数: 0|纠错复制收藏到空间加入选题篮查看答案解析答案：A解析：知识点：
[知识点：]
树立科学思维的观念"
"1566201591-679","https://study.baidu.com/tiku","[题目]
构建社会主义和谐社会，是党提出的重大任务。中国共产党在阐述全面建设小康社会的宏伟目标时强调，要建设包括“社会更加和谐”在内的更高水平的小康社会，努力形成全体人民各尽其能、各得其所而又和谐相处的局面，巩固和发展民主团结、生动活泼、安定和谐的政治局面。1.“和谐社会”观的提出，在研究方法上运用了什么思维方法？1.为什么要运用上述方法？题型: 材料分析题|难度: 一般|使用次数: 0|纠错复制收藏到空间加入选题篮查看答案解析答案：解析：【分析】运用的是辩证分析综合的方法，解决实际问题。【点评】难度适中。

【分析】运用的是辩证分析综合的方法，解决实际问题。【点评】难度适中。

知识点：
[知识点：]
树立科学思维的观念"
"1566201591-718","https://study.baidu.com/tiku","[题目]
一位青年满怀信心地对大发明家爱迪生说：“我想发明一种万能溶液，它可以溶解一切物品”。爱迪生听后问他：“你想用什么器皿来装这种万能溶液呢？”那位青年无言以对。

那位青年为什么会无言以对？题型: 简答题|难度: 困难|使用次数: 0|纠错复制收藏到空间加入选题篮查看答案解析答案：解析：知识点：
[知识点：]
遵循形式逻辑的要求"
"1566201591-838","https://study.baidu.com/tiku","[题目]
下列创造性思维活动不属于逆向思维的有（      ）A过去木匠用锯和刨来加工木头，木头不动工具动，人们从工具不动木头动的角度出发，设计发明发电刨。B奥斯特发现电可以转变为磁，法拉第从中受到启发，将磁又转变为电，为发电机的发明奠定了基础。C人们把原有煎鱼锅的热源由锅的下面安装到锅的上面，设计出了无烟煎鱼锅。D一些人提出要研制发明一种不需要提供动力或能源而能够永远不停地转动的永动机。题型: 单选题|难度: 一般|使用次数: 0|纠错复制收藏到空间加入选题篮查看答案解析答案：D解析：知识点：
[知识点：]
树立科学思维的观念"
"1566201591-874","https://study.baidu.com/tiku","[题目]
对下列推理结构的形式判断正确的是                                                    (   )  ①我们要减少污染，我们要解决失业问题，因此，我们将减少污染并且解决失业问题　
②我们将具有高点的失业率和通货膨胀，因此，我们将具有高点的失业率　③“右”可以葬送社会主义，“左”也可以葬送社会主义，所以，“左”和“右”都可以葬送社会主义　④既要防止“左”，也要防止“右”，主要是防止“左”A①③是合成式选言推理B①④是合成式联言推理C②③是分解式选言推理D②④是分解式联言推理题型: 单选题|难度: 困难|使用次数: 0|纠错复制收藏到空间加入选题篮查看答案解析答案：C解析：知识点：
[知识点：]
树立科学思维的观念"
"1566201591-717","https://study.baidu.com/tiku","[题目]
一个语句错误，或是不合语法，或是不合实际，或是不合逻辑的，所以，这个语句是合乎实际和合乎逻辑。这个推理的结构是否正确，为什么？题型: 简答题|难度: 一般|使用次数: 0|纠错复制收藏到空间加入选题篮查看答案解析答案：解析：知识点：
[知识点：]
树立科学思维的观念"
"1566201591-803","https://study.baidu.com/tiku","[题目]
有的妇女是干部，所以，有的干部是妇女。这句话判断正确的是（   ）A换位推理B换质推理C演绎推理D类比推理题型: 单选题|难度: 一般|使用次数: 0|纠错复制收藏到空间加入选题篮查看答案解析答案：A解析：知识点：
[知识点：]
树立科学思维的观念"
"1566201591-708","https://study.baidu.com/tiku","[题目]
结合下列判断分析：

A．他既有胆又有识，既有刚又有柔。
B．一个三角形，要么是钝角三角形，要么是锐角三角形，要么是直角三角形。
C．一个制度、一个政府，只有不断地听取批评意见，才能够不断改进工作，不断进步。
D．法院判决离婚的唯一条件是夫妻感情破裂。1.上述判断属于哪种复合判断？写出其逻辑形式。1.对各种复合判断进行划分的意义是什么？题型: 材料分析题|难度: 困难|使用次数: 0|纠错复制收藏到空间加入选题篮查看答案解析答案：解析：【分析】学会运用复合判断，进行逻辑推理。【点评】有难度。

【分析】学会运用复合判断，进行逻辑推理。【点评】有难度。

知识点：
[知识点：]
树立科学思维的观念"
"1566201591-857","https://study.baidu.com/tiku","[题目]
望、闻、问、切合称“四诊”，是中医诊断病症的基本方法。中医诊断病症进行分析时，强调“四诊合参”。这一过程             (　　)
①要坚持分析与综合相结合②贯穿了去粗取精、去伪存真、由此及彼、由表及里的认识原则　③有助于实现从感性认识上升到理性认识　④是一种形而上学的思维方法A①④B①②③④C①②③D②③题型: 单选题|难度: 一般|使用次数: 0|纠错复制收藏到空间加入选题篮查看答案解析答案：C解析：知识点：
[知识点：]
树立科学思维的观念"
"1566201591-907","https://study.baidu.com/tiku","[题目]
思维创新是一个复杂的过程，最需要有锲而不舍.持之以恒的意志的阶段是(　　)A准备阶段B酝酿阶段C明朗阶段D检验阶段题型: 单选题|难度: 一般|使用次数: 0|纠错复制收藏到空间加入选题篮查看答案解析答案：B解析：知识点：
[知识点：]
结合实践，善于创新"
"1566201591-784","https://study.baidu.com/tiku","[题目]
下列说法中不违反形式逻辑的是(　　)A太阳既围绕地球运转，又不围绕地球运转B这个罪犯的行为既是故意的，又不是故意的C有人说：“我还没有决定是否考大学。”D顾客：“同志，这儿有好酒吗？”售货员：“这儿的酒都是好酒，我们从来不卖掺水的酒。”题型: 单选题|难度: 一般|使用次数: 0|纠错复制收藏到空间加入选题篮查看答案解析答案：C解析：知识点：
[知识点：]
遵循形式逻辑的要求"
"1566201591-851","https://study.baidu.com/tiku","[题目]
人可以通过别人的描述，想象出自己从没见过的海洋或大陆、月亮或火星上的形象，也可以在头脑中创造出现实中不存在的事物表象，如神话故事中的“孙悟空”和“猪八戒”等形象。这说明                            (　　)A想象是凭空捏造的B想象的内容都是超脱现实的C想象是按一定目的自发进行的D想象是人脑对已有表象进行加工、改造形成新形象的过程题型: 单选题|难度: 一般|使用次数: 0|纠错复制收藏到空间加入选题篮查看答案解析答案：D解析：知识点：
[知识点：]
树立科学思维的观念"
"1566201591-755","https://study.baidu.com/tiku","[题目]
发散思维与聚合思维是认识对象的共性与个性的关系在思维活动中的体现。在思维过程中应注意什么问题？题型: 简答题|难度: 一般|使用次数: 0|纠错复制收藏到空间加入选题篮查看答案解析答案：解析：知识点：
[知识点：]
树立科学思维的观念"
