web-scraper-order,web-scraper-start-url,item
"1566468729-1662","https://study.baidu.com/tiku","[题目]
我国青年志愿者扶贫接力计划实施以来，许多志愿者满怀理想与热情，带着知识与技能来到西部广袤的土地上，从事小学教育或科技文化、医疗等方面的服务，既促进了曲．部贫困地区教育医疗等事业的发展，又使青年志愿者在实践中经受了锻炼，提高了素质。青年志愿者扶贫接力计划的实施（    ）A是落实社会主义精神文明建设根本任务的唯一举措B是培育和践行社会主义核心价值观的基本途径C有利于传播社会主义先进文化和促进良好社会风尚的形成D完善了以青年志愿者为主体的社会主义精神文明创建活动题型: 单选题|难度: 一般|使用次数: 0|纠错复制收藏到空间加入选题篮查看答案解析答案：C解析：此题考查精神文明创建活动。考查学生的理解判断能力，解答此题的关键是把握材料的主旨。青年志愿者扶贫接力计划的实施，有利于传播社会主义先进文化和促进良好社会风尚的形成，C正确；青年志愿者扶贫接力计划的实施，是落实社会主义精神文明建设根本任务的举措，并不是唯一举措，A表述错误；B“基本途径”错误，应为“重要途径之一”社会主义精神文明创建活动的主体是人民群众，故D错误。故选C。知识点：
[知识点：]
社会主义是中国人民的历史性选择,发展中国特色社会主义文化"
"1566468729-1553","https://study.baidu.com/tiku","[题目]
《人民的名义》是对当前社会生态的全景展示，深情讴歌了反腐斗士的坚定信仰和无畏勇气，呼应了党和人民的热切期待。这一作品（    ）①弘扬了社会主义核心价值观②增强了全民族文化创造活力③以特有的感染力引发国人共鸣④改变了滋生腐败的政治环境A①③B①④C②③D②④题型: 单选题|难度: 一般|使用次数: 0|纠错复制收藏到空间加入选题篮查看答案解析答案：A解析：本题考查发展社会主义先进文化。“《人民的名义》是对当前社会生态的全景展示，深情讴歌了反腐斗士的坚定信仰和无畏勇气，呼应了党和人民的热切期待”，体现了该剧贯彻了社会主义核心价值观，以特有的感染力引发国人共鸣，选A；②④夸大了该剧的作用，不选。据此可知答案为：A知识点：
[知识点：]
社会主义是中国人民的历史性选择,坚持社会主义核心价值体系,凝魂聚气、强基固本的基础工程,社会主义核心价值观的基本内容"
"1566468729-1661","https://study.baidu.com/tiku","[题目]
近年来，我国文化消费出现了许多新现象、新情况，一些人将贩卖隐私的花边新闻、热火朝天的口水战当作自己的精神正餐。这说明（    ）①文化建设要大力发展先进文化，在人民大众的文化生活中占据主导地位②政府应研究文化市场规律，满足群众各种需求③要引导消费者提高文化鉴赏力、拒绝污染④政府要提供多类型、多风格的文化产品A①②B①③C②④D③④题型: 单选题|难度: 一般|使用次数: 0|纠错复制收藏到空间加入选题篮查看答案解析答案：B解析：此题考查在文化生活中选择的相关知识，考查学生调动和运用知识的能力，解题关键是把握材料主旨。回答该题要准确理解“这”指代的现象，即“一些人将贩卖隐私的花边新闻、热火朝天的口水战当作了自己的精神正餐”，对这种现象的认识进行分析。这些现象说明消费者在选择多样性的文化产品时品位较低，启示我们文化建设要大力发展先进文化，在人民大众的文化生活中占据主导地位，要引导消费者提高文化鉴赏力，选择健康的、积极向上的文化产品，故①③符合题意；②中“满足群众各种需求”表述错误，故排除②；文化产品由企业提供，不是政府提供，故④错误。故选B。知识点：
[知识点：]
文化市场对文化的影响,社会主义是中国人民的历史性选择,彰显文化自信的力量"
"1566468729-1437","https://study.baidu.com/tiku","[题目]
2016年4月29日，庆祝五一国际劳动节暨全国五一劳动奖表彰大会在北京人民大会堂举行。全国898名先进个人荣获全国五一劳动奖章。“劳动光荣、知识崇高、人才宝贵、创造伟大”是劳模精神不变的精髓，也是时代精神永恒的内涵。表彰劳模有利于（    ）①提高公民的科学文化修养②弘扬和培育民族精神③培养和践行社会主义核心价值观④完全杜绝好逸恶劳的思想意识A①③B②③C②④D①④题型: 单选题|难度: 一般|使用次数: 0|纠错复制收藏到空间加入选题篮查看答案解析答案：B解析：表彰劳模实质是表彰劳动模范的精神价值，能够弘扬和培育勤劳勇敢的民族精神，培养和践行社会主义核心价值观，②③两项符合题意；表彰劳模有利于提高思想道德修养，与科学文化修养无关，①项不合题意；表彰劳模能宣传热爱劳动的思想，但不能杜绝好逸恶劳的思想意识，④项观点错误。据此可知答案为：B。知识点：
[知识点：]
丰富精神世界，促进全面发展,社会主义是中国人民的历史性选择,坚持社会主义核心价值体系,凝魂聚气、强基固本的基础工程,社会主义核心价值观的基本内容,弘扬和培育民族精神的途径和意义"
"1566468729-1574","https://study.baidu.com/tiku","[题目]
历史的行进，有着长河漫漫中的固有态势，也有在现代化转型中的新河道探寻。然而，历史进程改进的是手段和方法，不变的是人类社会对光明大道、对至善目标的追寻。上述材料蕴含的哲理的是（    ）A人类社会与自然界的发展有着密切的关系B信念和理想体现了人们对美好生活的追求C社会历史发展的总趋势是前进的、上升的D人类社会发展的不同阶段都有着相同目标题型: 单选题|难度: 一般|使用次数: 0|纠错复制收藏到空间加入选题篮查看答案解析答案：C解析：材料体现了社会历史发展的总趋势是前进的、上升的，选C；A、B与题意主旨不符；D说法错误。知识点：
[知识点：]
发展的概念,社会主义从理想到现实的转变,社会发展的实现方式"
"1566468729-1623","https://study.baidu.com/tiku","[题目]
无论文化产品是什么类型、什么风格，我们所倡导的大众文化是（    ）①反映人民的利益和呼声的文化②为人民大众所喜闻乐见的社会主义文化③先进的、健康的和有益的文化④消费者能追捧的文化A①②③B①②④C②③④D①③④题型: 单选题|难度: 一般|使用次数: 0|纠错复制收藏到空间加入选题篮查看答案解析答案：A解析：本题考查大众文化。我们所倡导的大众文化是面向广大人民，反映人民的利益和呼声，为人民大众所喜闻乐见的社会主义文化，人民大众真正需要的，都是先进的、健康有益的文化，①②③正确且符合题意；消费者能追捧的文化不一定是我们倡导的大众文化，应排除④；故本题答案选A。知识点：
[知识点：]
文化市场对文化的影响,社会主义是中国人民的历史性选择,彰显文化自信的力量"
"1566468729-1162","https://study.baidu.com/tiku","[题目]
现在有些媒体提倡“娱乐至上”，以荒诞、庸俗的内容迎合低级趣味；还有些媒体单纯追求“轰动效应”，热衷于“炒作”。这体现了（  ）A. 大众文化必然导致文化媚俗现象B. 文化市场的自发性和传媒的商业性C. 大众文化以大多数人的口味为基础D. 当今文化产品是一种“文化快餐”题型: 单选题|难度: 一般|使用次数: 0|纠错复制收藏到空间加入选题篮查看答案解析答案：B解析：文化市场的自发性和传媒的商业性引发了令人忧虑的现象。表现：肆意生产、销售品位低下的文化产品；以荒诞、庸俗的内容，迎合低俗趣味；捕风捉影的“新闻”炒作、不负责任地传播“绯闻轶事”等。针对文化市场令人忧虑的现象，政府要加强管理、正确引导。企业要坚持经济效益与社会效益的统一。个人要提高眼力，拒绝污染，加强自身思想道德修养和科学文化修养。由此可见，B选项符合题意；
A、D说法明显错误，排除；
C不符合材料主旨，排除。
据此可知答案为：B。知识点：
[知识点：]
文化市场对文化的影响,社会主义是中国人民的历史性选择,彰显文化自信的力量"
"1566468729-1184","https://study.baidu.com/tiku","[题目]
近日央视曝光，被抽查的9个电商平台中有7个在卖假冒或质量不合格商品。从文化生活角度看，这启示我们要（  ）A. 健全法制，增强公民的识别能力B. 巩固社会主义公有制的主体地位C. 加强社会主义市场经济原则教育D. 加强社会主义思想道德建设题型: 单选题|难度: 一般|使用次数: 0|纠错复制收藏到空间加入选题篮查看答案解析答案：D解析：健全法制、巩固社会主义公有制的主体地位、加强社会主义市场经济原则教育均不是从文化生活角度来说明的，A、B、C项不选；
“被抽查的9个电商平台中有7个在卖假冒或质量不合格商品”这说明市场经济中存在着诚信缺失等不良现象，这启示我们要加强社会主义思想道德建设，D项正确。
所以答案是D。
知识点：
[知识点：]
加强思想道德建设,社会主义是中国人民的历史性选择"
"1566468729-1529","https://study.baidu.com/tiku","[题目]
2016年4月，习近平总书记在网信工作座谈会上指出，网络空间是亿万民众共同的精神家园，网络空间天朗气清、生态良好，符合人民利益，网络空间乌烟瘴气、生态恶化，不符合人民利益。这对有关单位的要求是（    ）①取缔落后文化和腐朽文化，管控网络上言论②构建良好网上舆论氛围，让网络形成一个声音、一个调子③加强网上正面宣传，培育积极健康、向上向善的网络文化④依法加强网络空间治理，加强网络内容建设A①②B③④C①④D②③题型: 单选题|难度: 一般|使用次数: 0|纠错复制收藏到空间加入选题篮查看答案解析答案：B解析：本题考查文化建设的有关知识。“网络空间是亿万民众共同的精神家园，网络空间天朗气清、生态良好，符合人民利益，网络空间乌烟瘴气、生态恶化，不符合人民利益”对有关单位的要求是依法加强网络空间治理，加强网上正面宣传，培育积极健康、向上向善的网络文化，故③④符合题意，可以入选；①说法错误，对腐朽文化要予以取缔，对落后文化加以改造，排除；②中的“一个声音、一个调子”说法错误，排除。据此可知答案为：B。知识点：
[知识点：]
文化建设的必然要求,社会主义是中国人民的历史性选择,彰显文化自信的力量"
"1566468729-1531","https://study.baidu.com/tiku","[题目]
文化市场和大众传媒的发展，给文化生活带来复杂变化，积极和消极的现象都有。这要求（    ）①文化消费者要提高辨别能力②文化经营者要提高职业道德③国家要加强对文化市场的管理④社会要严格控制文化生活的发展A①②③B①②④C①③④D②③④题型: 单选题|难度: 一般|使用次数: 0|纠错复制收藏到空间加入选题篮查看答案解析答案：A解析：本题考查文化建设的知识。由于文化市场和大众传媒的影响，给文化生活带来了复杂的变化，既有积极的一面，也有消极的一面，这就要求文化消费者要提高辨别能力，文化经营者要提高职业道德，作为国家要加强对文化市场的管理和引导，①②③符合题意；④说法不对，社会不可能要严格控制文化生活的发展。据此可知答案为：A。知识点：
[知识点：]
文化建设的必然要求,社会主义是中国人民的历史性选择,彰显文化自信的力量"
