web-scraper-order,web-scraper-start-url,item
"1566191445-486","https://study.baidu.com/tiku","[题目]
具体劳动和抽象劳动的区别在于A劳动产品不同B劳动过程不同C劳动支出不同D在生产商品中所起的作用不同题型: |难度: |使用次数: 0|纠错复制收藏到空间加入选题篮查看答案解析答案：D解析：无知识点：
[知识点：]
马克思主义经济学的伟大贡献"
"1566191445-557","https://study.baidu.com/tiku","[题目]
怎样看待战后发达资本主义国家经济获得较快发展？题型: |难度: |使用次数: 0|纠错复制收藏到空间加入选题篮查看答案解析答案：（1）战后发达资本主义国家经济获得较快发展，主要原因就在于它采取了一些自我调节的手段。具体地讲，主要有三个方面：一是进行了社会改良。为了缓解资本主义社会固有的内在矛盾，西方资本主义国家在其根本制度所许可的范围内，对生产关系的某些方面作了一些较大幅度的调节、改良，同时，在一定程度上改善了劳动人民的生存环境。二是对经济实行政府干预和宏观调控。资本主义国家在总结以往经验的基础上，加强国家干预，加大宏观调控力度，在一定程度上减缓了市场经济的波动性、盲目性和破坏性，在很大程度上促进了经济发展。三是加强了对科技创新和新兴产业的扶持。西方国家对科技开发的投入不断增加，促进了新技术、新材料的发明和应用，从而几倍、几十倍甚至几百倍地提高了劳动生产率。（2）当代资本主义所进行的调节和改良，从根本上讲，都没有触动资本主义私人占有和生产日益社会化之间的固有矛盾。资本主义的本质特征并没有变。它们对生产力与生产关系之间不平衡和不适应的自我调节，只能在其根本制度容许的范围内来进行，这就决定了资本主义私有制与社会化大生产之间的矛盾无法克服。（3）马克思主义经典作家科学地揭示了资本主义产生、发展和必然灭亡的规律，以及社会主义、共产主义必然胜利的人类历史发展的大趋势。同时，马克思也明确指出：“无论哪一个社会形态，在它所能容纳的全部生产力发挥出来以前，是决不会灭亡的；而新的更高的生产关系，在它的物质存在条件在旧社会的胎胞里成熟以前，是决不会出现的。”从发展趋势看，资本主义无疑将作出进一步的调节和干预来缓解矛盾和危机。但只要这种调节和干预还是在私有制的框架内进行，那么，它的作用就必定是有限的。在另一方面，只要资本主义制度还没有发挥完它所能容纳的全部生产力，社会主义就还得和资本主义在同一个地球上并存下去。19世纪中叶，马克思、恩格斯就宣布资本主义必然灭亡；令人感到困惑的是，在20世纪，资本主义尽管发生过世界性经济危机，经历过两次世界大战，不但没有灭亡，反而获得了很大的发展。少数发达资本主义国家在经济、科技、军事等领域明显地占有优势。本题命题意图就在于引导我们正确认识战后发达资本主义国家经济获得较快发展的原因，同时也要科学地认识现象背后的本质性问题。解析：无知识点：
[知识点：]
马克思主义经济学的伟大贡献"
"1566191445-554","https://study.baidu.com/tiku","[题目]
货币是①金银等贵金属 ②固定地充当一般等价物的金银等贵金属 ③商品生产和商品交换发展到一定阶段的产物 ④商品价值形式长期发展的结果A①②③B②③④C①②④D①③④题型: |难度: |使用次数: 0|纠错复制收藏到空间加入选题篮查看答案解析答案：B解析：无知识点：
[知识点：]
马克思主义经济学的伟大贡献"
"1566191445-419","https://study.baidu.com/tiku","[题目]
英国古典经济学家李嘉图论证，生产1单位酒，葡萄牙需用80个工时，英国需用120个工时；生产1单位毛呢，葡萄牙需用90个工时，英国需用100个工时。尽管葡萄牙生产力水平高于英国，但仍然可多生产酒换英国的毛呢，节约自己生产毛呢的劳动。假定不计算关税等其他费用，葡萄牙通过出口1单位的酒所换回的英国的毛呢，如果由葡萄牙自己生产，将多耗费____________________个工时（）A18B28C30D10题型: |难度: |使用次数: 0|纠错复制收藏到空间加入选题篮查看答案解析答案：D解析：无知识点：
[知识点：]
古典经济学巨匠的理论遗产"
"1566191445-256","https://study.baidu.com/tiku","[题目]
19世纪，空想社会主义者虽然在不同程度上看到了资本主义的各种矛盾，批判了它的罪恶，对未来社会提出了许多天才的设想，但存在着局限性，是一种不具现实性的社会主义理想，这是因为他们(        )
①不理解资本主义的本质及发展规律　②不懂得共产主义胜利的客观必然性　
③否定无产阶级的历史作用　④支持资产阶级革命A①②③B②③④C①②④D①③④题型: 单选题|难度: 一般|使用次数: 0|纠错复制收藏到空间加入选题篮查看答案解析答案：A解析：知识点：
[知识点：]
马克思主义经济学的伟大贡献"
"1566191445-534","https://study.baidu.com/tiku","[题目]
【经济学常识】阅读材料，回答问题。凯恩斯对资本主义经济发展持有下列观点：观点一：投资的不断增加必然引起资本品供给的价格上升，而资本品供给价格的上升意味着成本的增加，从而会使投资的预期利润率下降。观点二：由于货币是流动性或者说灵活性最大的资产，货币可以随时作为交易之用，可以随时用于不测，可以随时用着投机，因而人们持有货币的偏好。（1）观点一和观点二分别反映了凯恩斯革命的哪些规律？（4分）（2）凯恩斯据此为资本主义的发展提出了哪些政策主张？（4分）题型: |难度: |使用次数: 0|纠错复制收藏到空间加入选题篮查看答案解析答案：（1）观点一反映了凯恩斯革命的资本边际效率递减规律，观点二反映了凯恩斯革命的流动偏好规律。（4分）（2）凯恩斯认为由于现实生活中存在的这些心理规律，所以随着社会的发展必然出现有效需求不足的问题，有效需求不足会导致经济危机（2分）。凯恩斯主张采取赤字财政政策，通过扩大财政支付来增加投资，刺激消费，扩大需求。（2分）试题分析：（1）观点一反映了凯恩斯革命的资本边际效率递减规律，资本的边际效率是使得预期收益现值之和等于资本品价格的贴现率，它反映了厂商增加投资的预期利润率。观点二反映了凯恩斯革命的流动偏好规律，流动偏好。流动偏好又称灵活偏好，指人们愿意以货币形式或存款形式保持某一部分财富，而不愿以股票、债券等资本形式保持财富的一种心理动机。（2）凯恩斯认为由于现实生活中存在的这些心理规律，所以随着社会的发展必然出现有效需求不足的问题，有效需求不足会导致经济危机。凯恩斯主张采取赤字财政政策，通过扩大财政支付来增加投资，刺激消费，扩大需求。点评：此类试题要求学生掌握凯恩斯的资本边际效率递减规律、流动偏好规律、凯恩斯理论对资本主义的影响。此类问题的回答，首先一定要重视各个问题中的关键词，有的放矢；其次要熟悉书本内容，能够运用多方面的知识点来回答一个问题；第三，分析回答问题一定要结合材料，让回答的内容更为充实。本题难度较高，考查学生根据书本知识结合材料进行分析的能力。解析：无知识点：
[知识点：]
古典经济学巨匠的理论遗产"
"1566191445-584","https://study.baidu.com/tiku","[题目]
在斯密看来，国民财富的增长，首先取决于（　　）。A社会分工的发展　　B市场交换发展的程度C劳动生产率的提高D资本利用效率的提高题型: |难度: |使用次数: 0|纠错复制收藏到空间加入选题篮查看答案解析答案：C解析：无知识点：
[知识点：]
古典经济学巨匠的理论遗产"
"1566191445-162","https://study.baidu.com/tiku","[题目]
中国改革开放30多年所形成的发展模式,实际上也是一个探索并逐步建立完善具有中国特色社会主义市场经济的过程。我国在充分尊重市场规律并重视发挥市场机制的基础上,保留了政府对经济的宏观调控职能,从而把市场经济的优越性与社会主义制度的优越性有机地结合起来,最终找到了一种比资本主义市场经济发展模式更加优越的中国特色社会主义市场经济发展模式。
我国是怎样把市场经济的优越性与社会主义制度的优越性有机地结合起来的?题型: 简答题|难度: 一般|使用次数: 0|纠错复制收藏到空间加入选题篮查看答案解析答案：解析：知识点：
[知识点：]
中国特色社会主义市场经济"
"1566191445-340","https://study.baidu.com/tiku","[题目]
在西方现代市场经济模式中具有私人经济占绝对主导，国有经济比重小，私人资本集中程度高、垄断性强等特点的国家是(       )A美国、韩国、加拿大、新加坡B德国、英国、澳大利亚、马来西亚C日本、韩国、英国、泰国D美国、英国、加拿大、澳大利亚题型: 单选题|难度: 困难|使用次数: 0|纠错复制收藏到空间加入选题篮查看答案解析答案：D解析：知识点：
[知识点：]
西方国家现代市场经济的兴起与主要模式"
"1566191445-561","https://study.baidu.com/tiku","[题目]
在下列对重商主义的认识中，正确的是（　　）。①产生于15世纪，反映了商业资产阶级的利益要求②认为金银是社会财富的唯一形态③随着条件的变化，对资本主义的进一步发展起积极推动作用④主张政府对经济的干预和控制A①②④B①③④C①②③D②③④题型: |难度: |使用次数: 0|纠错复制收藏到空间加入选题篮查看答案解析答案：A解析：无知识点：
[知识点：]
古典经济学巨匠的理论遗产"
