web-scraper-order,web-scraper-start-url,item
"1567148234-22383","https://study.baidu.com/tiku","[题目]
基因疫苗是指将编码外源性抗原的基因导入人和动物体内，让其在宿主细胞中表达抗原蛋白，诱导机体产生免疫应答。回答以下问题：(1)编码外源性抗原的基因导入人和动物体内之前要用到________和________这两种酶处理该基因，这两种酶中能特异性识别核苷酸序列的是_____________。(2)转基因技术称该编码外源性抗原的基因为______，把该基因导入人和动物细胞内的方法是_________。(3)转基因技术最核心的环节是_______，该环节最终得到的DNA应包括复制原点、_______、启动子、终止子、________等部分。(4)若要培育乳汁内含有外源性抗原蛋白的奶牛，则接受外源性抗原基因的受体细胞是__________，该细胞内的性染色体组成是_____________。题型: 填空题|难度: 一般|使用次数: 1|纠错复制收藏到空间加入选题篮查看答案解析答案：(1)限制性核酸内切酶(或限制酶)    DNA连接酶     限制性核酸内切酶(或限制酶)(2)目的基因     显微注射法(3)基因表达载体的构建     目的基因    标记基因(4)受精卵   XX解析：无知识点：
[知识点：]
基因工程,现代生物技术在育种上的应用"
"1567148234-22765","https://study.baidu.com/tiku","[题目]
下列有关生物工程的叙述正确的是（　　）A应用基因诊断技术，可检测受体细胞中的目的基因是否表达B筛选产生抗体的杂交瘤细胞需要使用特定的选择培养基C茎尖细胞具有很强的分裂能力，离体培养时不需要脱分化即可培养成完整植株D将牛的体细胞核移植到去核卵细胞中，获得克隆牛是一种培育新品种的方式题型: 单选题|难度: 一般|使用次数: 0|纠错复制收藏到空间加入选题篮查看答案解析答案：B解析：【解答】解：A、基因诊断技术可检测目的基因是否导入受体细胞，原理是DNA分子杂交技术，故A错误；  B、筛选产生抗体的杂交瘤细胞需要使用特定的选择培养基，去除未融合的细胞和自身融合的细胞，故B正确；C、茎尖细胞具有很强的分裂能为，离体培养时脱分化较容易，故C错误；D、将牛的体细胞核移植到去核卵细胞中，获得克的隆牛具备双亲的遗传特性，属于无性繁殖，没有出现新物种，故D错误．故选：B．【考点精析】本题主要考查了基因工程的原理及技术和植物培养的条件及过程的相关知识点，需要掌握基因工程的原理是利用DNA重组技术；植物组织培养就是在无菌和人工控制条件下，将离体的植物器官、组织、细胞，培养在人工配制的培养基上，给予适宜的培养条件，诱导其产生愈伤组织、丛芽，最终形成完整的植株才能正确解答此题．知识点：
[知识点：]
基因工程的概念,培养基与无菌技术,复等位基因,生物技术在其他方面的应用,单克隆抗体的制备,基因工程的原理及技术,动物细胞核移植技术,植物培养的条件及过程"
"1567148234-22635","https://study.baidu.com/tiku","[题目]
“试管婴儿”技术是通过将不孕夫妇的精子和卵细胞取出在试管中完成受精，并在试管中培养使其发育到如图所示的时期，再将胚胎移入女性子宫内发育成胎儿．它不仅使一部分不能生育的男女重新获得了生育的机会，也为人类的优生开辟了新的途径．据此回答：1. “试管婴儿”技术在生物学上所依据的原理是　     　A. 有性生殖B. 组织培养C. 克隆技术D. 基因工程2. 人的受精卵通过卵裂，逐渐形成大量形态、功能不同的细胞、组织，并进而形成器官和系统．从细胞水平看，卵裂的分裂方式是     ．3. 如图示时期是胚胎发育的    期．4. 在该图下一时期，b细胞最可能成为    胚层的一部分．5. “试管婴儿”的形成用到下列哪些技术？     ． （填序号）①体外培养  ②人工授精　③胚胎移植　④核移植6. 要得到“同卵双胞胎”，采用的技术是      ， 双胞胎的性别是否相同？     ．题型: 综合题|难度: 一般|使用次数: 0|纠错复制收藏到空间加入选题篮查看答案解析答案：1. A2. 有丝分裂3. 囊胚4. 内5. ①②③6. 胚胎分割移植,相同解析：【解答】解：（1）“试管婴儿”主要采用了体外受精、胚胎移植等技术，属于有性生殖．（2）卵裂的分裂方式是有丝分裂．（3）图示胚胎处于囊胚期．（4）图中a为细胞外包，b为细胞内陷，因此b处细胞最可能成为内胚层的一部分．（5）“试管婴儿”的形成采用了体外受精技术、早期胚胎培养技术、胚胎移植技术．（6）来自同一个胚胎的后代具有相同的遗传物质，因此要得到“同卵双胞胎”，采用的技术是胚胎分割移植．经过胚胎分割形成的双胞胎的性别相同．据此可知答案为：（1）A 　 （2）有丝分裂  （3）囊胚（4）内　 （5）①②③（6）胚胎分割移植    相同【考点精析】利用胚胎移植对题目进行判断即可得到答案，需要熟知胚胎移植是将雌性动物的早期胚胎移植到同种的、生理状态相同的其他雌性动物的体内，使之继续发育为新个体的技术．知识点：
[知识点：]
器官移植,生物技术在其他方面的应用,胚胎移植"
"1567148234-23246","https://study.baidu.com/tiku","[题目]
噬菌体的遗传物质有的是单链RNA，有的是单链DNA，有的是双链RNA，还有的是双链DNA．有些噬菌体具有将基因插入宿主DNA内的特性，使得它成为重要的分子和遗传学研究工具．下列相关叙述正确的是（　　）A不同噬菌体的可遗传变异类型有突变和基因重组B噬菌体与人体细胞都能进行细胞增殖和细胞分化C将基因插入宿主DNA的噬菌体的遗传物质为双链DNAD所有的噬菌体都可以用于验证DNA是遗传物质的实验题型: 单选题|难度: 一般|使用次数: 0|纠错复制收藏到空间加入选题篮查看答案解析答案：C解析：【解答】解：AB、突变包括基因突变和染色体变异，噬菌体不具有细胞结构，不能发生染色体变异和细胞的增殖和分化，A、B不符合题意；C、噬菌体的宿主应为细胞生物，而细胞生物的DNA均为双链DNA，所以具有能将基因插入宿主DNA内特性的噬菌体的遗传物质应为双链DNA，C符合题意；D、遗传物质是RNA的噬菌体不能用于验证DNA是遗传物质的实验，D不符合题意．据此可知答案为：C．【考点精析】本题主要考查了噬菌体侵染细胞的实验和基因工程的原理及技术的相关知识点，需要掌握实验结论：子代噬菌体的各种性状是通过亲代的DNA遗传的；基因工程的原理是利用DNA重组技术才能正确解答此题．知识点：
[知识点：]
基因工程的概念,复等位基因,生物技术在其他方面的应用,噬菌体侵染细胞的实验,基因工程的原理及技术"
"1567148234-23079","https://study.baidu.com/tiku","[题目]
【生物﹣﹣选修3：现代生物科技专题】  已知甲种农作物因受到乙种昆虫危害而减产，乙种昆虫食用某种原核生物分泌的丙种蛋白质后死亡．因此，可将丙种蛋白质基因转入到甲种农作物体内，使甲种农作物获得抗乙种昆虫危害的能力．回答下列问题：1. 为了获得丙中蛋白质的基因，在已知丙种蛋白质氨基酸序列的基础上，推测出丙中蛋白质的    序列，据此可利用    方法合成目的基因．获得丙中蛋白质的基因还可用    、    方法．2. 在利用上述丙中蛋白质基因和质粒载体构建重组质粒的过程中，常需使用    酶和     ．3. 将含有重组质粒的农杆菌与甲种农作物的愈伤组织共培养，筛选出含有丙种蛋白质的愈伤组织，由该愈伤组织培养成的再生植株可抵抗    的危害．4. 若用含有重组质粒的农杆菌直接感染甲种农作物植株叶片伤口，则该植株的种子    （填“含有”或“不含”）丙种蛋白质基因．题型: 综合题|难度: 一般|使用次数: 0|纠错复制收藏到空间加入选题篮查看答案解析答案：1. 基因；化学；基因文库；PCR扩增2. 限制；DNA连接3. 乙种昆虫4. 不含解析：【解答】解：（1）在已知蛋白质的氨基酸序列的情况下，可根据氨基酸和碱基的对应关系，推出合成该蛋白质的mRNA序列，依据碱基互补配对原则再推出DNA的碱基序列，用DNA合成仪通过化学方法来合成目的基因．此外也可以从基因文库中获取目的基因，也可通过PCR方法获取目的基因．（2）构建重组质粒时，需要用同种限制酶将运载体目的基因切开，并用DNA连接酶将目的基因连接到运载体上，从而构建基因表达载体．（3）愈伤组织中含有丙蛋白，所以由愈伤组织培养的植株，乙昆虫食用后会死亡，说明植株可抵抗乙昆虫的危害．（4）直接用含有重组质粒的农杆菌直接感染甲种农作物植株叶片伤口，可在叶片部分细胞中合成丙蛋白，该植株的种子和其他的营养器官均不含有重组质粒，所以不含有丙中蛋白质的基因．  据此可知答案为：（1）基因　化学　基因文库　PCR扩增；（2）限制；DNA连接；（3）乙种昆虫；（4）不含。【考点精析】解答此题的关键在于理解基因工程的原理及技术的相关知识，掌握基因工程的原理是利用DNA重组技术，以及对基因工程的应用的理解，了解植物基因工程：抗虫、抗病、抗逆转基因植物，利用转基因改良植物的品质；动物基因工程：提高动物生长速度、改善畜产品品质、用转基因动物生产药物；基因治疗：把正常的外源基因导入病人体内，使该基因表达产物发挥作用．知识点：
[知识点：]
基因工程的概念,基因工程的应用,复等位基因,生物技术在其他方面的应用,基因工程的原理及技术"
"1567148234-22876","https://study.baidu.com/tiku","[题目]
为治疗糖尿病，研究人员提出了如图的方法．  1. 一般选用的图中①都是    的供体细胞．2. 核移植的受体细胞一般选用MⅡ期卵母细胞．进行相关显微操作时，一般用微型吸管一并吸出     ．3. 细胞在体外培养时，除培养液提供必需的营养条件外，还需要有     ． 上图所获的胚胎干细胞可由    中分离出来，在功能上具有     ．4. 利用PCR技术扩增正常胰岛素基因的前提条件是     ． 将正常胰岛素基因导入胚胎干细胞并维持稳定和表达的过程，称为     ．5. “定向诱导”的目的是使重组细胞B发生      ， 从而形成功能专一的胰岛类似细胞．6. 该治疗糖尿病的方法与相比异体移植，突出的优点是     ．题型: 综合题|难度: 一般|使用次数: 0|纠错复制收藏到空间加入选题篮查看答案解析答案：1. 传代10代以内2. 细胞核和第一极体3. 无菌、无毒环境,适宜的温度、pH和气体环境；早期胚胎或原始性腺；发育的全能性4. 要有一段已知正常胰岛素基因的脱氧核苷酸序列；转化5. 细胞分化（基因选择性表达）6. 不发生免疫排斥反应解析：【解答】解：（1）①是核移植时提供细胞核的一方，也叫核移植的供体，一般选传代10代以内细胞，因为传代10代以内细胞保持正常的二倍体核型．（2）核移植的受体细胞一般选用MⅡ期卵母细胞．进行去核时，一般用微型吸管一并吸出细胞核和第一极体．（3）细胞体外培养除需要提供一定的营养、适宜的温度和pH、无菌无毒的环境外还需要一定的气体环境．上图所获的胚胎干细胞可由早期胚胎或原始性腺中分离出来，在功能上具有发育的全能性．（4）利用PCR技术扩增正常胰岛素基因的前提条件是要有一段已知正常胰岛素基因的脱氧核苷酸序列，以便据此合成引物，将正常胰岛素基因导入胚胎干细胞并维持稳定和表达的过程，称为转化．（5））“定向诱导”的目的是使重组细胞B发生细胞分化，从而形成功能专一的胰岛类似细胞．（6）该治疗糖尿病的方法与相比异体移植，突出的优点是不发生免疫排斥反应．据此可知答案为：（1）传代10代以内（2）细胞核和第一极体（3）无菌、无毒环境，适宜的温度、pH和气体环境     早期胚胎或原始性腺     发育的全能性（4）要有一段已知正常胰岛素基因的脱氧核苷酸序列     转化（5）细胞分化（基因选择性表达）（6）不发生免疫排斥反应【考点精析】本题主要考查了基因工程的原理及技术和动物细胞核移植技术的相关知识点，需要掌握基因工程的原理是利用DNA重组技术；动物体细胞核移植是将动物的一个细胞的细胞核，移入一个已经去掉细胞核的卵母细胞中，使其重组并发育成一个新的胚胎，这个新胚胎最终发育为动物个体才能正确解答此题．知识点：
[知识点：]
基因工程的概念,培养基与无菌技术,复等位基因,生物技术在其他方面的应用,基因工程的原理及技术,动物细胞核移植技术"
"1567148234-23146","https://study.baidu.com/tiku","[题目]
微生物常被用于基因工程中．下列相关叙述正确的是（    ）A从耐热的细菌中获取PCR所需的DNA连接酶B大肠杆菌、酵母菌等是基因工程常用的载体C作为载体的DNA分子需具有合成抗生素的基因D常利用土壤农杆菌将目的基因导入植物细胞题型: 单选题|难度: 一般|使用次数: 0|纠错复制收藏到空间加入选题篮查看答案解析答案：D解析：【解答】解：A、从耐热的细菌中获取PCR所需的DNA聚合酶，A错误；  B、大肠杆菌、酵母菌等是基因工程常用的受体细胞，B错误；C、作为载体的DNA分子不一定需具有合成抗生素的基因，含有荧光等标记基因的DNA分子也能作为基因工程的载体，C错误；D、将目的基因导入受体细胞常用农杆菌转化法，D正确．故选：D．【考点精析】认真审题，首先需要了解基因工程的原理及技术(基因工程的原理是利用DNA重组技术)．知识点：
[知识点：]
复等位基因,生物技术在其他方面的应用,基因工程的原理及技术,基因工程的概念"
"1567148234-23296","https://study.baidu.com/tiku","[题目]
能正确表示克隆羊“多利”技术原理的模式是（　　）  AABBCCDD题型: 单选题|难度: 一般|使用次数: 0|纠错复制收藏到空间加入选题篮查看答案解析答案：C解析：【解答】解：克隆羊“多利”的培育主要采用了核移植技术．A、图A表示受精作用，A错误；B、图B表示细胞融合，B错误；C、图C表示将动物的一个细胞的细胞核，移入一个已经去掉细胞核的卵母细胞中，这是核移植技术，C正确；D、图D表示将卵细胞的细胞核移植入已经去除细胞核的体细胞中，而核移植是将体细胞的细胞核移植入已经去掉细胞核的卵细胞中，D错误．据此可知答案为：C．【考点精析】本题主要考查了动物细胞核移植技术的相关知识点，需要掌握动物体细胞核移植是将动物的一个细胞的细胞核，移入一个已经去掉细胞核的卵母细胞中，使其重组并发育成一个新的胚胎，这个新胚胎最终发育为动物个体才能正确解答此题．知识点：
[知识点：]
培养基与无菌技术,生物技术在其他方面的应用,动物细胞核移植技术"
"1567148234-23124","https://study.baidu.com/tiku","[题目]
下列有关基因工程的叙述，正确的是（    ）ADNA连接酶的作用是将两个黏性末端的碱基连接起来B目的基因导入受体细胞后，受体细胞即发生基因突变C目的基因与运载体结合的过程发生在细胞外D常使用的载体有大肠杆菌、噬菌体和动植物病毒等题型: 单选题|难度: 简单|使用次数: 0|纠错复制收藏到空间加入选题篮查看答案解析答案：C解析：【解答】解：A、DNA连接酶的作用对象是磷酸二酯键，故A错误．  B、目的基因导入受体细胞属于基因重组，故B错误．C、目的基因与运载体在体外重组，重组好之后导入受体细胞中，故C正确．D、常使用的载体有质粒、噬菌体和动植物病毒等，故D错误．故选：C．【考点精析】掌握基因工程的原理及技术是解答本题的根本，需要知道基因工程的原理是利用DNA重组技术．知识点：
[知识点：]
复等位基因,生物技术在其他方面的应用,基因工程的原理及技术,基因工程的概念"
"1567148234-22755","https://study.baidu.com/tiku","[题目]
下列技术中，一般来说不属于细胞工程范围的是（　　）A植物细胞和组织培养B细胞融合C基因芯片的应用D细胞核移植题型: 单选题|难度: 一般|使用次数: 0|纠错复制收藏到空间加入选题篮查看答案解析答案：C解析：【解答】解：A、植物细胞和组织培养属于植物细胞工程技术，A错误；B、细胞融合属于细胞工程技术，B错误；C、基因芯片属于基因工程技术的应用，C正确；D、细胞核移植属于动物细胞工程技术，D错误．据此可知答案为：C．知识点：
[知识点：]
培养基与无菌技术,生物技术在其他方面的应用,细胞工程的操作水平、对象、条件及手段"
