web-scraper-order,web-scraper-start-url,item
"1567145636-12799","https://study.baidu.com/tiku","[题目]
基因型为AAaBBBCCc的细胞中所含的染色体组数最可能是（　　）A. 2个B. 3个C. 4个D. 5个题型: 单选题|难度: 一般|使用次数: 0|纠错复制收藏到空间加入选题篮查看答案解析答案：B解析：【解答】基因型为AAaBBBCCc的细胞中，控制同一性状的基因出现3次，所含的染色体组数最可能是3个， B符合题意，A、C、D均不符合题意。据此可知答案为：B【考点精析】本题主要考查了染色体组的概念、单倍体、二倍体、多倍体的相关知识点，需要掌握由配子发育成的个体叫单倍体；含两个染色体组就叫二倍体；体细胞中含三个或三个以上染色体组的个体叫多倍体；二倍体生物配子中所具有的全部染色体组成一个染色体组才能正确解答此题．知识点：
[知识点：]
染色体组的概念、单倍体、二倍体、多倍体,拉马克的进化学说"
"1567145636-12837","https://study.baidu.com/tiku","[题目]
下列关于科学家在遗传学史上的实验，以及他们的成果的叙述，不正确的是(      )A. 摩尔根证明“基因在染色体上”应用了“假说—演绎”法B. 艾弗里通过类比推理提出了细菌的遗传物质是DNA而不是蛋白质C. 萨顿根据基因与染色体行为平行,并运用类比推理法说明了基因在染色体上D. 沃森和克里克采用模型构建法，最终发现了DNA分子的双螺旋结构题型: 单选题|难度: 一般|使用次数: 0|纠错复制收藏到空间加入选题篮查看答案解析答案：B解析：【解答】摩尔根利用果蝇为实验材料，运用“假说-演绎”法证明了“基因在染色体上”，A不符合题意；艾弗里通过化学分析，提出了S型肺炎双球菌的遗传物质是DNA而不是蛋白质，B符合题意；萨顿运用类比推理法提出了“基因在染色体上”的假说，C不符合题意；沃森和克里克采用构建模型法，发现了DNA的双螺旋结构，D不符合题意。据此可知答案为：B知识点：
[知识点：]
遗传物质的探寻,染色质和染色体的结构,基因与DNA的关系"
"1567145636-12484","https://study.baidu.com/tiku","[题目]
某同学在利用红色彩球（标记D）和绿色彩球（标记d）进行“性状分离比模拟实验”的过程中，在桶A中放入两种彩球各10个模拟雌配子，以下操作中错误的是（     ）A. 在桶B中放入两种彩球各20个模拟雄配子B. 在每次随机抓取彩球之前摇匀桶中的彩球C. 红绿彩球除颜色不同外，其他均一致D. 在每次取出的小球记录完后不再放回桶内题型: 单选题|难度: 一般|使用次数: 0|纠错复制收藏到空间加入选题篮查看答案解析答案：D解析：【解答】在桶B中放人两种彩球各20个，表示两种雄配子的比例为1：1，A不符合题意；在每次随机抓取彩球之前摇动小桶，使桶内小球充分混合，保证每次抓取不同颜色小球的概率均为1/2，B不符合题意；红绿彩球除颜色不同外，其他均一致，C不符合题意；为了保证每种配子被抓取的概率相等，每次抓取小球统计后，应将彩球放回原来的小桶内，D符合题意。据此可知答案为：D知识点：
[知识点：]
遗传的分子基础,人工授精、试管婴儿等生殖技术,基因的分离规律的实质及应用,生物性污染,避孕的原理和方法,植物或动物性状分离的杂交实验,性状分离比的模拟实验,遗传的细胞基础"
"1567145636-12139","https://study.baidu.com/tiku","[题目]
请据材料回答下列问题：1. 果蝇个体小，繁殖快，是遗传实验常用的动物材料．  ①果蝇的一对等位基因A（灰体）对a（黑檀体）为显性．现有灰体、黑檀体雌雄纯合子果蝇若干只，若要通过一次杂交实验确定A，a基因位于常染色体还是X染色体上，应选取    为亲本进行杂交．若子代性状为      ， 则基因位于常染色体上．②研究者发现果蝇的另一对位于常染色体上的基因D（卷曲翅）、d（正常翅）存在显性纯合致死（胚胎致死）现象．要证明这一现象应选取    做亲本杂交，子代的表现型及比例应为     ．2. 燕麦颖片颜色有三个品种，黑颖（A_B_或aaB_）、黄颖（A_bb）、白颖（aabb），两对基因独立遗传．B，b基因所在的染色体片段缺失（B，b基因不流失）会导致花粉败育，但雌配子可育．现发现基因型为AaBb的燕麦植株可能存在花粉败育，若想判断是哪条染色体片段发生了缺失，可将AaBb植株自交，请完成下列预测．  ①如果没有子代产生，则是    所致．②如果子代的表现型及比例是      ， 则是    基因所在染色体片段缺失所致．③如果子代的表现型及比例是      ， 则是    基因所在染色体片段缺失所致．题型: 综合题|难度: 困难|使用次数: 1|纠错复制收藏到空间加入选题篮查看答案解析答案：1. 灰体雄蝇、黑檀体雌蝇；无论雌雄,均为灰体（或“与性别无关”）；卷曲翅雄蝇、卷曲翅雌蝇；卷曲翅：正常翅=2：12. B和b基因所在染色体片段缺失；黑颖：黄颖：白颖=4：3：1； B；黑颖：黄颖：白颖=1：0：0； b解析：【解答】解：（1）①判断基因位于X染色体还是常染色体，可用灰体雄蝇与黑檀体雌蝇杂交，如果基因位于差染色体上，灰体雄果蝇的基因型是AA，黑檀体雌果蝇的基因型是aa，子代性状与性别无关，都表现为灰体；若基因位于X染色体上，灰体雄蝇（的基因型是XAY，黑檀体雌蝇XaXa，子代雌性全是灰体，雄性全是黑檀体．②假设存在显性纯合致死，则显性个体的基因型都为Dd，可用卷曲翅雄蝇与卷曲翅雌蝇进行交配来验证．若子代卷曲翅：正常翅=2：1，则存在显性纯合致死，否则就不存在．（2）由题意知，燕麦颖片颜色由2对等位基因控制，且2对等位基因遵循自由组合定律；按照自由组合定律，基因型为AaBb产生的配子的类型及比例是AB：Ab：aB：ab=1：1：1：1，且B或b所在染色体片段缺失会导致花粉败育．①如果没有子代，说明没有花粉，则应是B和b基因所在的染色体片段缺失．②如果是B基因所在染色体片段缺失，雌性能产生四种配子且比例为1AB：1Ab：1aB：1ab，但雄性只能产生两种配子且比例为1Ab：1ab，故子代的表现型及比例是黑颖：黄颖：白颖=4：3：1．③如果是b基因所在染色体片段缺失，雌性仍产生四种配子且比例为1AB：1Ab：1aB：1ab，但雄性只能产生两种配子且比例为1AB：1aB，故子代的表现型只有黑颖．据此可知答案为：（1）①灰体雄蝇、黑檀体雌蝇   无论雌雄，均为灰体（或“与性别无关”）②卷曲翅雄蝇、卷曲翅雌蝇   卷曲翅：正常翅=2：1（2）①B和b基因所在染色体片段缺失②黑颖：黄颖：白颖=4：3：1      B③黑颖：黄颖：白颖=1：0：0      b【考点精析】本题主要考查了基因的自由组合规律的实质及应用的相关知识点，需要掌握基因的自由组合定律的实质是：位于非同源 染色体上的非等位 基因的分离或组合互不干扰的，在减数分裂过程中，同源染色体上的等位基因彼此分离的同时， 非同源染色体上的非等位 基因 自由组合才能正确解答此题．知识点：
[知识点：]
遗传的分子基础,基因的自由组合规律的实质及应用,人工授精、试管婴儿等生殖技术,生物性污染,避孕的原理和方法,遗传的细胞基础"
"1567145636-13065","https://study.baidu.com/tiku","[题目]
如图甲、乙是同种生物两个细胞分裂的示意图，有关叙述不正确的是（  ）
A. 甲是减数分裂，乙是有丝分裂B. 乙细胞所属动物的体细胞中有4条染色体C. 甲细胞中的染色体、染色单体、DNA数目依次为2、4、4D. 甲细胞的亲代细胞基因型一定是AaBb题型: 单选题|难度: 一般|使用次数: 0|纠错复制收藏到空间加入选题篮查看答案解析答案：D解析：【解答】解：甲细胞无同源染色体，每条染色体含2个单体和2个DNA，为次级性母细胞或第一极体。乙细胞两极各有2对同源染色体，发生单体分离，染色体数暂时增倍，为有丝分裂后期，故A、B、C不符合题意；
甲细胞的亲代细胞基因型可能是AaBb，也可能是AAbb，D符合题意。据此可知答案为：D【考点精析】掌握有丝分裂中结构和物质的变化和减数分裂的概念是解答本题的根本，需要知道在有丝分裂过程中，染色体复制一次，细胞分裂一次，分裂结果是染色体平均分配到两个子细胞中；减数分裂是进行有性生殖的生物形成生殖细胞过程中所特有的细胞分裂方式．在减数分裂过程中，染色体只复制一次，而细胞连续分裂两次，新产生的生殖细胞中的染色体数目比体细胞减少一半．知识点：
[知识点：]
有丝分裂中结构和物质的变化,人工授精、试管婴儿等生殖技术,生物性污染,减数分裂与有丝分裂的比较,避孕的原理和方法,减数分裂过程中染色体和DNA的规律性变化,减数分裂的概念,生命活动离不开细胞"
"1567145636-12385","https://study.baidu.com/tiku","[题目]
下列叙述中错误的是（ ）
①受精卵中全部遗传物质的一半来自精子   ②果蝇的精原细胞含有4对同源染色体，减数分裂形成的精子中含有2对同源染色体   ③男性两侧输精管被结扎后，睾丸仍能产生精子，第二性征不会改变 ④在精子细胞形成精子的过程中，细胞核全部在精子的头部，细胞质全部在精子的尾部A. ①③④B. ①②③C. ②③④D. ①②④题型: 单选题|难度: 一般|使用次数: 0|纠错复制收藏到空间加入选题篮查看答案解析答案：D解析：【解答】受精卵中遗传物质少数来自精子；果蝇的精原细胞减数分裂形成的精子中含有4条染色体，不成对；精子细胞变形形成精子的过程中，大部分细胞质失去，少部分细胞质位于精子的尾部。综上所述，D符合题意，A、B、C不符合题意。据此可知答案为：D【考点精析】解答此题的关键在于理解减数分裂的概念的相关知识，掌握减数分裂是进行有性生殖的生物形成生殖细胞过程中所特有的细胞分裂方式．在减数分裂过程中，染色体只复制一次，而细胞连续分裂两次，新产生的生殖细胞中的染色体数目比体细胞减少一半，以及对精子的形成过程的理解，了解精子的形成部位为精巢，有变形期，一个精原细胞形成四个精子．知识点：
[知识点：]
人工授精、试管婴儿等生殖技术,减数第一、二次分裂过程中染色体的行为变化,生物性污染,减数分裂与有丝分裂的比较,避孕的原理和方法,受精作用的概念和过程,减数分裂的概念,精子的形成过程"
"1567145636-12761","https://study.baidu.com/tiku","[题目]
在常染色体上的A,B,C三个基因分别对a、b、c完全显性。用隐性性状个体与显性纯合个体杂交得F1  ， F1测交结果为aaBbcc∶AabbCc∶aaBbCc∶Aabbcc＝1∶1∶1∶1，则下列正确表示F1基因型的是（     ）A. B. C. D. 题型: 单选题|难度: 一般|使用次数: 0|纠错复制收藏到空间加入选题篮查看答案解析答案：D解析：【解答】因为测交结果是4种表现型，说明有两对基因是位于同一对同源染色体上的，分析可知F1产生的配子时aBc：AbC：aBC：Abc为1:1:1:1，通过分析可知a和B在同一对同源染色体上，故A、B、C不符合题意，D符合题意。据此可知答案为：D【考点精析】认真审题，首先需要了解基因的自由组合规律的实质及应用(基因的自由组合定律的实质是：位于非同源 染色体上的非等位 基因的分离或组合互不干扰的，在减数分裂过程中，同源染色体上的等位基因彼此分离的同时， 非同源染色体上的非等位 基因 自由组合)．知识点：
[知识点：]
遗传的分子基础,基因的自由组合规律的实质及应用,人工授精、试管婴儿等生殖技术,生物性污染,避孕的原理和方法,遗传的细胞基础"
"1567145636-12790","https://study.baidu.com/tiku","[题目]
秋水仙素诱导多倍体形成的原因是（     ）A. 诱导染色体多次复制B. 抑制细胞有丝分裂时纺锤体的形成C. 促进染色单体分开，形成染色体D. 促进细胞融合题型: 单选题|难度: 简单|使用次数: 0|纠错复制收藏到空间加入选题篮查看答案解析答案：B解析：【解答】秋水仙素作用于正在分裂的细胞，能够抑制细胞分裂时纺锤体的形成，从而诱导细胞中的染色体数加倍，B符合题意，A、C、D三项均不符合题意。据此可知答案为：B【考点精析】解答此题的关键在于理解染色体组的概念、单倍体、二倍体、多倍体的相关知识，掌握由配子发育成的个体叫单倍体；含两个染色体组就叫二倍体；体细胞中含三个或三个以上染色体组的个体叫多倍体；二倍体生物配子中所具有的全部染色体组成一个染色体组．知识点：
[知识点：]
染色体组的概念、单倍体、二倍体、多倍体,拉马克的进化学说"
"1567145636-12634","https://study.baidu.com/tiku","[题目]
棘状毛囊角质化是一种伴X染色体显性遗传病。下列叙述错误的是（     ）A. 该病的遗传与性别有关B. 人群中男性患者多于女性患者C. 男性患者的女儿必定患病D. 患者的正常子女不携带该患者传递的致病基因题型: 单选题|难度: 一般|使用次数: 0|纠错复制收藏到空间加入选题篮查看答案解析答案：B解析：【解答】伴X染色体显性遗传病的遗传与性别有关，A不符合题意；人群中女性患者多于男性患者，B符合题意；男性患者的X染色体一定传给女儿，女儿必定患病，C不符合题意；患者的正常子女不携带该患者传递的致病基因，D不符合题意。据此可知答案为：B知识点：
[知识点：]
遗传的分子基础,伴性遗传,伴性遗传在实践中的应用,人工授精、试管婴儿等生殖技术,生物性污染,避孕的原理和方法,遗传的细胞基础"
"1567145636-12465","https://study.baidu.com/tiku","[题目]
刺鼠的毛色由两对等位基因（符合基因自由组合定律）共同决定，B（黑色）对b（褐色）为显性；具CC和Cc基因型的鼠是正常体色刺鼠，基因型cc是白化鼠。亲本为黑色的刺鼠与bbcc的白化鼠交配，其子一代中，1/2个体是白化鼠，1/4是黑色正常刺鼠，1/4是褐色正常刺鼠。问：黑色亲本的基因型是（   ）A. bbCcB. BbCcC. BbCCD. BBCc题型: 单选题|难度: 困难|使用次数: 0|纠错复制收藏到空间加入选题篮查看答案解析答案：B解析：【解答】解：首先亲本黑色一定是C_。从1/2子一代是白化知必为Cc。又有褐色鼠，则黑色亲本必有b。所以答案只能是B。验证：P BbCc x bbcc  cc的必为白化，有1/2。另外1/2均为非白化，则Bbxbb必有一半黑，一半褐。故B符合题意，A、C、D不合题意。据此可知答案为：B【考点精析】利用基因的分离规律的实质及应用和基因的自由组合规律的实质及应用对题目进行判断即可得到答案，需要熟知基因的分离定律的实质是：在杂合体的细胞中，位于一对同源染色体上的  等位    基因，具有一定的独立性，在减数分裂形成配子的过程中，等位基因的分开而分离，分别进入两个配子中，独立地随配子传给后代；基因的自由组合定律的实质是：位于非同源 染色体上的非等位 基因的分离或组合互不干扰的，在减数分裂过程中，同源染色体上的等位基因彼此分离的同时， 非同源染色体上的非等位 基因 自由组合．知识点：
[知识点：]
遗传的分子基础,基因的自由组合规律的实质及应用,人工授精、试管婴儿等生殖技术,基因的分离规律的实质及应用,生物性污染,避孕的原理和方法,遗传的细胞基础"
